SA1_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
80101100101,33,0,0,0,0,36,42,0,0,0,0,42,5,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,8,0,0,0,9,0,0,0,0,0,4,86,10,0,0,0,98
80101100102,49,0,0,0,0,49,56,0,0,0,0,59,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,125,3,0,0,0,128
80101100103,22,9,0,0,0,35,30,3,12,0,0,46,7,11,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,14,0,3,0,0,0,3,0,0,0,0,0,0,11,22,11,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,73,43,16,0,0,133
80101100104,77,0,0,0,0,76,62,0,0,0,0,66,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,159,0,0,0,0,162
80101100105,101,0,0,0,0,101,66,0,0,0,0,66,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,199
80101100106,76,12,0,0,0,85,50,13,0,0,0,62,10,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,145,33,0,0,0,178
80101100201,3,23,0,0,0,31,0,30,5,0,0,36,0,42,9,0,0,53,0,36,0,0,0,38,0,6,0,0,0,3,0,18,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,96,19,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,6,156,25,0,0,191
80101100202,0,16,0,0,0,16,0,23,6,0,0,32,0,42,9,0,0,47,0,35,0,0,0,37,0,4,0,0,0,3,0,8,8,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,83,15,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,3,128,23,0,0,156
80101100203,0,0,32,0,0,32,0,0,74,0,0,74,0,0,203,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,4,0,0,4,0,0,0,0,0,0,0,0,243,0,0,243,0,0,0,0,0,0,0,0,3,0,0,3,0,0,349,0,0,349
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
