POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA2600,0,0,0,11,4,3,18,11,11,62,0,0,0,3,0,0,3,6,3,20,0,5,5,13,4,4,3,0,0,36,0,3,11,87,35,15,19,7,0,177,0,0,4,10,4,9,0,0,0,31,0,0,4,12,7,3,0,3,0,20,0,0,0,0,3,0,0,0,0,3,0,0,0,4,4,4,4,3,0,17,0,0,0,12,3,4,17,10,4,55,0,0,0,0,3,0,4,0,0,16,0,0,0,9,5,3,3,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,10,20,14,11,12,6,0,75,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,13,0,0,0,0,0,16,0,3,0,3,4,8,6,4,3,26,0,0,13,27,14,22,20,18,3,115,0,0,0,4,0,4,3,0,0,14
POA2601,0,0,7,8,4,0,0,3,0,28,0,0,0,0,0,0,3,0,0,3,0,0,43,28,4,3,3,0,0,86,0,3,107,126,16,4,0,0,0,257,0,0,27,24,0,3,0,0,0,53,0,0,3,18,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,9,0,0,4,8,0,0,4,0,0,22,0,0,15,7,0,3,0,0,0,30,0,0,21,55,13,0,0,0,0,98,0,0,0,0,0,0,0,0,0,4,0,0,59,37,8,7,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,8,0,0,3,20,0,0,0,0,0,26,0,0,6,6,0,0,3,0,0,10,0,0,43,32,6,9,6,3,0,101,0,0,0,0,0,0,0,0,0,0
POA2602,4,3,15,47,35,37,40,31,20,237,0,0,3,5,4,15,14,42,19,105,0,5,27,59,17,17,7,0,0,135,3,31,59,374,49,28,25,8,6,584,5,19,5,98,15,10,11,4,0,164,0,0,5,49,12,4,6,0,0,67,0,3,3,12,0,4,0,0,0,23,0,4,4,22,13,9,9,7,4,78,0,3,0,29,14,20,20,37,25,151,0,3,12,27,14,14,3,0,0,72,0,7,11,79,28,11,6,7,0,148,0,0,0,5,4,4,5,0,0,18,0,5,21,81,32,23,22,8,3,196,0,0,0,3,6,6,5,0,0,15,0,0,0,9,4,0,0,0,0,16,0,0,0,10,21,6,10,3,0,60,5,5,34,200,0,3,0,0,0,238,3,9,11,18,22,10,20,20,11,115,5,16,52,135,97,77,41,27,9,451,0,0,0,6,6,4,3,4,5,20
POA2603,0,3,4,10,6,3,14,12,9,68,0,0,0,0,0,5,7,10,0,39,0,3,18,9,10,7,4,6,0,51,0,22,14,118,44,16,15,9,3,230,0,3,6,15,4,3,3,5,3,35,0,0,4,16,8,5,3,0,0,35,0,0,0,4,6,0,4,0,0,15,0,0,3,13,0,5,7,0,0,21,0,3,4,4,8,8,22,14,20,82,0,3,5,9,4,4,4,0,0,28,0,4,0,13,8,8,0,0,0,41,0,0,0,0,0,0,0,0,0,6,0,7,6,20,16,21,7,4,0,78,0,0,0,0,0,0,4,0,0,10,0,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,14,69,0,0,0,0,0,83,0,0,4,0,4,6,13,3,7,38,0,3,18,33,24,17,22,11,3,127,0,0,0,4,0,4,5,0,0,15
POA2604,0,0,8,16,15,4,10,10,3,72,0,0,0,4,3,3,6,9,3,26,0,10,3,34,6,10,5,0,0,69,4,13,26,172,29,12,3,0,0,262,0,0,4,19,12,3,0,0,0,35,0,0,4,15,4,0,4,0,0,31,0,0,8,9,6,9,5,0,0,37,0,3,0,8,5,5,11,0,5,35,0,0,4,12,0,14,22,7,8,60,0,4,9,13,15,5,0,0,0,48,0,0,9,34,15,0,0,0,0,63,0,0,4,0,5,0,5,0,0,11,0,3,12,32,16,16,5,5,0,83,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,4,6,0,0,0,0,0,17,0,6,14,91,0,0,0,0,0,112,0,0,5,8,3,3,10,6,0,45,0,4,17,65,17,44,22,5,0,182,0,0,0,4,4,0,5,0,0,9
POA2605,0,0,3,8,5,7,18,23,18,77,0,0,0,0,4,5,5,11,7,37,0,0,3,11,5,8,5,0,0,38,9,45,20,255,49,17,20,5,7,432,0,6,3,6,4,9,0,0,0,32,0,0,0,10,7,0,0,3,0,17,0,4,0,7,0,0,0,0,0,22,0,0,0,11,4,0,4,7,4,36,0,0,0,4,0,6,14,24,17,69,0,9,5,11,9,5,6,0,4,39,0,4,5,12,3,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,8,9,28,15,11,12,0,3,93,0,0,0,0,0,0,4,0,0,8,0,0,0,6,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,26,134,0,0,0,0,0,173,0,3,4,3,3,0,6,9,3,30,0,8,9,42,50,30,18,12,10,179,0,0,0,4,0,0,0,0,0,12
POA2606,0,0,4,11,6,8,10,12,9,63,0,0,5,5,4,4,11,18,0,49,0,3,3,34,5,6,5,4,0,56,8,43,32,456,59,23,22,14,3,664,0,0,6,19,0,4,0,0,0,30,0,0,0,20,0,0,0,0,0,28,0,0,0,6,4,12,0,0,0,21,0,8,0,5,6,4,4,5,7,27,0,0,0,9,4,11,13,20,10,68,0,0,0,16,3,5,0,0,0,33,0,0,8,54,12,10,0,0,0,85,0,0,0,3,0,0,0,0,0,10,0,5,8,63,15,8,18,4,0,119,0,3,0,0,0,0,0,0,0,6,0,0,4,4,0,3,0,0,0,7,0,0,0,11,5,3,0,0,0,14,0,0,111,496,4,3,0,0,0,619,0,0,5,4,0,3,5,6,3,26,7,12,6,36,23,28,14,11,4,136,0,0,0,10,0,0,4,0,0,11
POA2607,0,0,0,8,4,0,28,28,7,83,0,0,0,3,0,5,8,25,10,62,0,4,3,17,6,14,9,3,0,75,6,47,39,292,74,38,27,10,9,544,0,0,3,14,3,3,5,0,4,38,0,0,0,11,3,10,0,5,0,28,0,0,0,7,4,0,0,0,0,10,0,3,0,14,5,9,5,13,4,45,0,0,0,0,3,14,27,29,18,95,0,5,6,9,9,0,3,0,0,21,0,0,3,25,13,3,5,0,0,46,0,0,0,3,5,0,0,0,0,16,0,5,3,33,16,20,18,9,0,108,0,0,0,0,0,3,4,11,0,20,0,0,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,4,10,0,5,42,192,0,0,0,0,0,237,0,0,5,0,5,3,3,8,15,36,5,17,5,41,35,37,7,17,4,171,0,0,0,4,6,5,8,5,0,25
POA2609,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,3,3,0,21,0,0,0,0,0,0,0,0,0,0
POA2611,0,5,3,30,12,22,43,56,27,193,0,0,3,5,8,3,10,30,7,67,0,14,14,73,24,19,12,0,3,156,14,104,120,1051,201,84,50,23,12,1650,0,8,7,36,15,11,13,0,3,87,0,6,10,56,18,24,12,5,4,131,0,3,5,40,11,8,6,0,0,82,0,18,8,21,11,8,10,6,9,85,0,0,4,18,17,18,52,49,11,173,0,6,7,25,13,7,7,0,0,60,5,12,12,102,17,4,4,0,0,156,0,0,0,14,5,7,0,0,0,29,0,21,8,89,52,29,24,14,6,244,0,0,0,0,0,4,11,11,0,20,0,0,0,9,8,0,5,0,0,29,0,0,0,21,14,0,10,4,0,54,0,15,71,378,13,8,5,0,0,491,0,0,4,7,7,6,20,22,6,70,4,25,29,105,71,65,47,27,4,376,0,0,3,10,6,0,5,0,0,30
