code,name,male couples,female couples,opposite-sex couples,total couples
SAL10001,Aarons Pass,0,0,6,6
SAL10002,Abbotsbury,4,0,986,988
SAL10003,Abbotsford (NSW),7,16,1307,1328
SAL10004,Abercrombie,4,0,267,270
SAL10005,Abercrombie River,0,0,4,10
SAL10006,Aberdare,7,6,474,490
SAL10007,Aberdeen (NSW),0,6,476,479
SAL10008,Aberfoyle,0,0,29,29
SAL10009,Aberglasslyn,11,14,1504,1532
SAL10010,Abermain,4,3,526,535
SAL10011,Abernethy,0,0,68,68
SAL10012,Abington (NSW),0,0,6,6
SAL10013,Acacia Creek,0,0,7,7
SAL10014,Acacia Gardens,5,6,920,927
SAL10015,Adaminaby,0,0,65,65
SAL10016,Adamstown,11,5,1280,1304
SAL10017,Adamstown Heights,7,0,1397,1406
SAL10018,Adelong,0,0,225,227
SAL10019,Adjungbilly,0,0,17,17
SAL10020,Afterlee,0,0,6,6
SAL10021,Agnes Banks,0,0,232,238
SAL10022,Airds,0,0,393,395
SAL10023,Akolele,0,0,35,37
SAL10024,Albert,0,0,21,21
SAL10025,Albion Park,5,20,3290,3315
SAL10026,Albion Park Rail,8,4,1452,1467
SAL10027,Albury,10,6,1017,1034
SAL10028,Aldavilla,0,0,173,173
SAL10029,Alectown,0,0,36,36
SAL10030,Alexandria,219,83,1959,2254
SAL10031,Alfords Point,6,0,819,823
SAL10032,Alfredtown,0,0,22,22
SAL10033,Alice,0,0,0,0
SAL10034,Alison (Central Coast - NSW),0,0,23,23
SAL10035,Alison (Dungog - NSW),0,0,20,20
SAL10036,Allambie Heights,0,4,1729,1738
SAL10037,Allandale (NSW),0,0,20,20
SAL10038,Allawah,8,8,1177,1194
SAL10039,Alleena,0,0,12,12
SAL10040,Allgomera,0,0,31,29
SAL10041,Allworth,0,0,33,33
SAL10042,Allynbrook,0,0,18,18
SAL10043,Alma Park,0,0,12,12
SAL10044,Alpine,0,0,35,40
SAL10045,Alstonvale,3,0,112,113
SAL10046,Alstonville,7,12,1316,1337
SAL10047,Alumy Creek,0,0,24,24
SAL10048,Amaroo (NSW),0,0,10,10
SAL10049,Ambarvale,14,7,1306,1324
SAL10050,Amosfield,0,0,6,6
SAL10051,Anabranch North,0,0,0,0
SAL10052,Anabranch South,0,0,11,11
SAL10053,Anambah,0,0,13,11
SAL10054,Ando,0,0,10,10
SAL10055,Anembo,0,0,18,18
SAL10056,Angledale,0,0,40,44
SAL10057,Angledool,0,0,5,5
SAL10058,Anglers Reach,0,0,18,20
SAL10059,Angourie,0,0,62,62
SAL10060,Angus,0,0,74,73
SAL10061,Anna Bay,4,11,1023,1037
SAL10062,Annandale (NSW),56,52,1977,2084
SAL10063,Annangrove,0,0,365,371
SAL10064,Appin (NSW),8,5,735,746
SAL10065,Apple Tree Flat,0,0,12,12
SAL10066,Appleby,0,0,12,12
SAL10067,Appletree Flat,0,0,4,4
SAL10068,Apsley (NSW),0,0,25,27
SAL10069,Arable,0,0,5,5
SAL10070,Arakoon,0,0,120,125
SAL10071,Araluen (NSW),0,0,53,53
SAL10072,Aratula (NSW),0,0,0,0
SAL10073,Arcadia (NSW),0,3,365,366
SAL10074,Arcadia Vale,3,0,343,344
SAL10075,Ardglen,0,0,12,12
SAL10076,Arding,0,0,45,47
SAL10077,Ardlethan,0,0,103,105
SAL10078,Argalong,0,0,3,3
SAL10079,Argenton,0,0,244,246
SAL10080,Argents Hill,0,0,42,42
SAL10081,Argoon,0,0,0,0
SAL10082,Ariah Park,0,0,116,116
SAL10083,Arkell,0,0,5,5
SAL10084,Arkstone,0,0,5,5
SAL10085,Armatree,0,0,32,32
SAL10086,Armidale,36,29,4419,4480
SAL10087,Arncliffe,61,27,2379,2470
SAL10088,Arndell Park,0,0,0,0
SAL10089,Arrawarra,0,0,130,130
SAL10090,Arrawarra Headland,0,0,142,148
SAL10091,Artarmon,24,8,2156,2189
SAL10092,Arthurville,0,0,14,14
SAL10093,Arumpo,0,0,9,10
SAL10094,Ashbury,4,3,790,797
SAL10095,Ashby (NSW),0,0,86,85
SAL10096,Ashby Heights,0,0,77,76
SAL10097,Ashby Island,0,0,8,8
SAL10098,Ashcroft,0,0,536,542
