SAL_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80011,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,5,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,0,5,0,4,5,0,0,11
SAL80012,0,3,10,3,4,3,0,0,0,24,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,9,3,4,10,6,0,0,35,0,3,12,3,8,7,4,0,0,36,0,0,3,3,0,7,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,10,11,6,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,10,11,6,0,0,53,0,0,0,0,0,4,8,0,0,12,0,0,0,0,0,0,5,0,0,8,0,11,20,5,10,16,12,0,0,68
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,4,5,0,10,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,5,5,0,10,4,4,0,0,0,27,0,0,0,15,0,4,0,0,0,24,3,5,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,4,4,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,4,4,3,0,0,43,3,0,0,0,0,0,0,0,3,12,0,0,0,0,4,0,0,0,0,3,6,5,7,18,6,8,3,0,3,51
SAL80015,0,3,4,0,7,3,3,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,5,0,5,3,6,0,0,23,0,0,0,5,4,7,3,0,0,21,0,0,4,0,0,5,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,5,6,10,10,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,6,10,10,0,0,37,0,0,0,0,0,0,6,0,0,12,0,0,0,0,3,0,3,0,0,5,0,3,6,5,14,12,13,0,0,49
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,544,342,62,9,3,0,0,0,0,960,175,92,47,13,0,0,0,0,0,322,159,105,14,6,0,0,0,0,0,281,878,540,116,28,8,0,0,0,0,1566,10,18,28,7,3,0,0,0,0,66,572,485,84,11,7,0,0,0,0,1150,88,48,5,0,0,0,0,0,0,143,6,3,0,0,0,0,0,0,0,7,669,547,114,17,3,0,0,0,0,1361,8,9,8,0,0,0,0,0,0,28,178,76,7,0,0,0,0,0,0,262,181,89,14,0,0,0,0,0,0,285,850,636,131,24,3,0,0,0,0,1648,342,223,116,25,7,0,0,0,0,708,254,202,25,3,0,0,0,0,0,487,1450,1060,267,51,7,0,0,0,0,2844
SAL80018,101,190,253,315,321,213,50,4,0,1462,48,32,35,50,61,128,213,163,143,867,7,6,17,5,11,16,6,11,7,86,148,232,302,375,397,354,274,185,154,2415,26,118,357,384,458,235,47,0,0,1616,128,172,132,148,132,127,56,4,0,904,13,14,24,41,23,19,4,0,0,134,0,0,4,4,6,0,3,0,0,19,165,301,509,581,621,380,109,9,0,2674,4,0,12,10,4,10,3,0,0,41,16,15,7,8,7,15,0,0,0,67,18,19,16,20,11,21,3,0,0,112,184,319,527,600,629,409,110,9,0,2783,103,59,55,73,86,247,380,285,237,1539,10,11,21,17,18,30,22,21,10,166,297,391,603,694,736,690,515,311,250,4481
SAL80019,156,153,317,438,464,182,31,0,0,1745,80,28,49,52,56,107,139,83,18,610,10,12,15,11,12,5,0,0,0,66,243,196,378,499,535,295,170,87,18,2422,35,165,441,603,722,267,30,0,0,2262,198,122,154,197,174,90,29,3,0,967,9,7,38,25,28,15,3,0,0,133,0,11,14,5,7,7,0,0,0,40,245,300,647,832,933,374,64,3,0,3401,0,14,17,14,11,12,0,0,0,70,45,10,7,4,7,0,0,0,0,75,47,21,25,22,21,18,0,0,0,146,289,319,672,856,955,386,71,3,0,3549,183,64,74,73,88,161,243,137,34,1051,11,13,43,33,24,6,10,3,0,145,488,396,784,957,1062,562,316,139,34,4749
SAL80020,46,57,111,171,153,111,20,0,0,682,31,9,9,16,19,60,107,96,32,376,0,4,4,3,3,3,13,5,3,32,82,70,127,190,172,177,139,101,36,1090,6,48,135,218,235,153,11,3,0,824,57,58,74,76,67,48,27,10,0,421,5,4,9,13,4,14,4,0,0,57,0,0,4,0,0,0,0,0,0,4,71,114,227,309,305,215,45,10,6,1307,0,0,6,0,0,0,0,0,0,10,10,8,4,5,0,0,0,0,0,32,10,8,7,0,3,3,0,0,0,41,79,123,237,318,311,222,48,10,6,1345,63,28,23,18,25,113,179,180,59,682,0,12,7,10,5,5,16,3,3,66,142,164,270,345,340,339,241,197,62,2095
SAL80021,109,165,318,367,341,189,30,5,4,1518,57,5,49,32,44,98,112,56,16,466,3,4,16,11,3,8,10,0,0,48,167,174,384,406,388,290,147,60,17,2029,51,174,441,495,530,302,33,4,0,2028,137,112,132,161,131,80,28,4,0,780,8,15,47,29,23,18,0,0,0,143,0,0,14,9,3,4,0,0,0,34,194,296,631,692,687,414,64,11,4,2986,6,14,14,9,7,7,0,0,0,59,26,6,12,4,9,9,5,0,0,58,36,20,21,12,13,16,5,0,0,117,227,319,650,700,704,425,63,12,4,3103,117,21,72,45,60,155,204,108,27,813,5,5,32,25,12,7,6,8,0,112,348,351,754,772,773,591,271,128,29,4019
SAL80022,9,67,210,128,110,69,29,0,0,616,8,5,12,6,11,36,84,30,8,200,0,10,36,19,16,10,10,5,0,102,13,79,264,154,135,113,124,33,6,918,0,80,366,203,174,117,41,0,0,985,12,21,36,24,20,31,28,4,0,191,3,7,20,8,11,7,5,0,0,61,0,0,3,5,0,0,0,0,0,6,24,100,430,238,208,160,71,5,0,1239,0,0,3,0,6,0,0,0,0,16,0,0,7,0,0,0,0,0,0,5,0,0,5,0,6,0,0,0,0,22,19,103,442,242,211,158,69,8,0,1263,14,10,18,10,16,54,140,66,9,345,0,12,61,43,35,21,23,10,0,210,39,128,518,292,262,241,233,87,12,1806
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SAL80024,78,539,1324,446,207,115,33,5,0,2742,35,135,202,83,48,74,150,158,113,997,0,37,79,22,18,8,5,7,3,178,116,709,1600,549,271,203,187,169,119,3923,19,446,1741,711,314,164,40,0,0,3431,93,433,719,218,91,70,35,4,0,1665,7,33,76,40,21,6,3,0,0,188,0,16,39,9,0,0,0,0,0,69,123,922,2573,979,429,248,72,10,0,5364,5,27,107,28,22,7,0,0,0,187,15,46,39,13,7,4,0,0,0,131,18,69,148,36,27,18,0,0,0,324,147,993,2721,1018,460,262,76,10,0,5683,77,264,341,135,96,126,239,253,178,1703,14,67,154,60,33,21,8,11,3,377,229,1325,3216,1209,592,410,324,272,184,7764
SAL80025,131,190,471,686,366,112,22,0,0,1979,94,21,96,96,50,58,95,47,5,564,9,17,20,36,10,6,4,0,0,93,229,223,593,811,425,169,122,55,5,2635,36,173,598,1016,604,179,28,0,0,2639,153,146,256,302,137,49,19,6,0,1072,14,8,31,45,19,12,4,0,0,135,0,6,36,20,8,6,0,0,0,78,208,332,926,1386,775,241,50,6,0,3923,3,15,28,26,14,5,0,0,0,89,33,9,7,13,8,0,0,0,0,75,42,24,37,34,18,8,5,0,0,164,247,355,963,1424,796,248,53,6,0,4088,197,50,131,122,65,84,167,86,7,912,18,22,53,61,29,7,9,3,0,202,463,427,1150,1603,890,345,222,92,13,5200
SAL80026,78,94,225,243,250,159,44,0,0,1084,45,7,44,25,36,108,141,96,25,532,4,5,7,11,11,4,0,3,0,42,121,111,277,271,293,269,187,101,27,1658,28,113,284,334,351,221,42,0,0,1373,91,72,111,110,86,84,40,3,0,591,8,0,28,20,16,18,4,0,0,95,0,0,4,8,4,0,0,0,0,21,119,184,423,470,458,323,86,3,0,2076,4,3,10,4,7,11,0,0,0,34,13,0,4,0,3,3,0,0,0,31,15,10,17,5,6,6,0,0,0,63,137,199,442,479,464,330,89,3,0,2142,106,28,56,44,54,163,241,147,41,878,8,11,15,22,22,7,5,0,0,93,251,231,514,536,546,502,336,157,43,3112
SAL80027,37,515,1146,419,191,112,26,3,0,2440,14,53,79,27,28,57,100,59,26,446,6,26,61,20,5,6,6,3,4,141,57,595,1290,463,220,181,131,66,29,3027,4,483,1802,721,335,191,32,0,0,3569,36,331,321,131,44,63,25,3,0,959,0,21,64,39,20,13,6,3,0,164,3,10,15,3,0,0,0,0,0,32,44,847,2205,897,395,260,62,6,0,4717,6,17,62,18,5,4,0,0,0,106,7,19,14,3,0,0,3,0,0,59,11,35,80,22,4,9,0,0,0,161,52,880,2285,923,401,268,63,6,0,4879,42,131,145,55,54,108,176,114,39,862,8,52,143,51,23,13,19,5,4,312,103,1062,2572,1028,471,391,263,127,46,6051
SAL80028,231,646,826,423,255,150,43,6,0,2567,79,97,92,49,31,101,185,140,80,858,8,27,33,12,9,7,4,3,7,114,321,768,949,488,290,261,235,148,83,3541,40,321,1094,637,398,208,47,4,0,2740,250,612,458,172,86,65,41,11,0,1682,23,49,54,32,14,14,4,0,0,186,7,26,35,6,3,3,0,0,0,85,315,1006,1638,847,497,288,92,16,0,4694,5,26,41,13,11,9,0,0,0,104,50,71,35,14,3,0,0,0,0,171,53,95,79,30,11,9,4,0,0,278,366,1103,1712,870,508,299,96,12,0,4966,182,196,194,73,50,155,329,240,125,1550,21,40,63,29,16,24,10,6,12,218,565,1339,1970,973,574,472,437,265,137,6732
