SAL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL80012,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,4,3,5,0,0,3,3,41
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,3,0,0,0,0,31
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,3,0,0,0,0,27
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,3,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,9,15,127,10,61,35,32,6,10,5,294
SAL80018,3,0,8,3,6,8,4,0,0,31,0,0,0,0,0,0,0,0,0,0,20,26,0,0,12,0,0,3,0,56,3,6,0,4,3,5,0,0,3,24,570,992,104,119,213,47,10,49,51,2159
SAL80019,21,7,27,9,31,3,8,3,0,110,0,0,0,0,0,0,0,0,0,0,13,7,0,0,9,0,0,0,0,31,3,8,10,7,6,5,3,0,11,50,523,839,248,261,383,90,52,59,42,2499
SAL80020,5,0,6,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,22,0,4,0,0,4,0,0,0,6,18,278,501,57,56,89,33,7,32,26,1085
SAL80021,20,8,32,14,25,9,0,6,3,127,0,0,0,0,0,0,0,0,0,3,3,4,0,0,11,8,3,0,0,35,4,4,5,4,5,5,4,0,9,47,304,479,319,206,376,86,76,65,53,1964
SAL80022,4,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,8,0,3,4,0,0,0,0,31,0,5,0,0,0,0,0,0,0,11,281,556,27,68,114,17,0,3,33,1112
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL80024,17,5,58,25,14,11,0,12,0,143,0,0,0,0,0,0,0,0,0,0,6,20,4,15,11,0,4,5,0,63,11,6,9,9,3,7,3,12,21,77,535,1625,383,606,537,328,99,209,88,4405
SAL80025,12,0,47,13,28,7,8,10,5,138,0,0,0,0,0,0,0,0,0,0,0,8,3,8,10,0,5,3,0,39,12,8,11,6,11,5,5,7,18,80,468,1047,296,382,432,120,81,112,90,3023
SAL80026,9,3,25,8,16,6,3,6,0,70,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,19,0,0,6,3,3,0,0,0,3,24,241,487,178,136,264,42,24,39,35,1455
SAL80027,17,11,22,16,8,5,0,6,0,76,0,0,0,0,0,0,0,0,0,0,28,33,5,3,17,0,0,0,3,88,4,9,8,5,3,0,3,3,7,48,879,2013,169,253,490,101,21,50,75,4052
SAL80028,11,6,35,20,11,9,3,10,4,113,0,0,0,0,0,0,0,0,0,9,12,16,6,10,8,0,0,0,0,48,3,9,4,10,3,3,0,0,20,56,562,1436,258,428,430,209,50,153,73,3598
SAL80029,21,6,33,12,21,6,6,13,0,117,0,0,0,0,0,0,0,0,0,0,3,6,0,3,9,3,5,0,0,34,5,10,4,3,7,0,0,3,11,41,394,647,334,245,381,77,52,74,48,2252
SAL80030,17,3,8,8,5,7,0,3,0,58,3,0,0,3,0,0,0,0,0,4,49,22,3,17,10,0,0,0,4,103,11,9,4,0,5,0,0,3,4,30,911,1037,97,209,274,53,9,40,70,2708
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,3,7,4,0,0,0,0,42
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,18,10,53,11,26,6,3,11,0,143,0,0,0,0,0,0,0,0,0,4,12,3,0,12,12,0,0,0,6,47,9,6,8,3,14,5,5,5,10,60,534,946,309,313,478,101,70,79,69,2897
SAL80034,0,4,3,8,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,287,480,66,69,120,28,13,18,19,1097
SAL80035,8,4,17,15,9,5,3,5,4,74,0,0,0,0,0,0,0,0,0,0,3,5,0,5,5,0,5,0,0,16,7,0,5,0,7,5,4,0,4,27,141,260,174,159,165,43,40,42,24,1046
SAL80036,5,0,13,8,3,0,0,6,0,42,0,0,0,0,0,0,0,0,0,3,5,4,7,0,3,0,0,0,5,21,3,3,0,0,5,0,0,0,7,15,245,464,101,114,125,50,21,82,23,1227
SAL80037,14,3,25,11,16,6,5,3,0,81,0,0,0,0,0,0,0,0,0,0,4,5,0,3,3,0,0,0,0,18,4,3,9,0,6,0,3,9,11,52,314,505,301,196,302,79,56,71,50,1874
SAL80038,3,3,21,15,10,4,3,3,0,66,0,0,0,0,0,4,0,0,0,3,7,13,0,5,4,6,0,0,0,31,0,16,3,3,7,3,0,0,7,40,453,1089,101,164,256,86,12,40,55,2245
SAL80039,6,8,37,10,27,9,4,0,0,105,0,0,0,0,0,0,0,0,0,5,4,0,5,5,8,0,4,0,0,23,6,8,6,10,9,4,4,5,3,55,343,523,265,202,365,64,44,52,39,1894
SAL80040,0,0,11,4,8,0,0,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,12,5,0,0,0,0,0,0,0,8,20,302,573,78,95,148,25,14,39,28,1301
SAL80041,6,4,36,11,3,5,10,11,0,89,0,0,0,0,0,0,0,0,0,0,11,10,0,3,3,0,0,0,0,35,6,3,4,5,9,6,0,8,10,48,407,1010,185,249,304,94,38,71,52,2410
SAL80042,14,4,33,9,13,3,0,6,0,81,0,0,0,0,0,0,0,0,0,0,8,3,0,4,11,4,0,0,4,33,3,6,4,7,10,3,0,0,7,39,499,823,172,225,322,61,30,46,41,2225
SAL80043,4,0,17,11,5,6,3,6,0,51,0,0,0,0,0,0,0,0,0,0,12,14,3,0,7,0,0,0,0,42,5,3,0,0,5,4,0,0,3,25,579,1024,149,145,251,50,31,63,45,2327
SAL80044,8,0,10,7,0,0,0,5,0,28,0,0,0,0,0,0,0,0,0,0,10,11,0,0,7,0,0,0,0,26,0,3,0,5,3,0,0,0,3,16,315,645,45,72,146,30,3,15,15,1293
SAL80045,0,8,9,4,4,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,4,4,6,0,4,0,0,0,0,20,3,4,0,0,0,0,0,6,3,12,278,675,97,91,151,49,20,22,27,1406
SAL80046,5,3,19,5,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,16,14,0,0,3,3,0,0,0,38,3,3,5,0,0,0,0,0,8,19,357,797,101,128,210,45,13,54,33,1739
SAL80047,17,3,19,6,9,4,0,8,0,70,0,0,0,0,0,0,0,0,0,0,6,23,0,0,5,3,0,5,0,43,0,4,0,3,3,0,6,0,8,31,427,732,158,154,221,57,25,93,35,1909
SAL80048,8,0,10,3,11,3,3,4,0,38,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,22,0,5,0,5,0,4,0,0,0,16,335,514,118,101,190,38,17,37,17,1379
SAL80049,12,5,42,24,24,17,4,10,0,132,0,0,0,0,0,0,0,0,0,4,6,14,5,6,10,0,0,3,3,49,12,4,9,9,5,0,4,5,6,56,487,806,362,349,464,92,55,80,43,2750
SAL80050,11,10,30,10,15,12,0,7,3,92,0,0,0,0,0,0,0,0,0,0,12,6,6,3,9,0,0,0,0,35,6,8,0,3,11,3,3,5,5,41,427,771,274,172,314,73,39,78,40,2194
SAL80051,0,0,10,9,6,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,17,0,6,0,0,0,0,0,5,0,7,329,485,102,90,177,29,18,11,10,1256
SAL80052,4,4,12,9,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,14,5,0,3,0,0,0,0,0,23,0,4,3,0,0,0,0,0,7,18,356,542,108,93,156,26,11,34,34,1364
SAL80053,0,0,16,13,9,4,4,0,0,42,0,0,0,0,0,0,0,0,0,0,12,11,0,0,5,0,0,0,0,28,0,4,0,0,0,0,0,4,7,22,263,477,118,119,162,24,21,18,18,1226
SAL80054,10,5,22,12,15,5,7,0,0,72,0,0,0,0,0,0,0,0,0,0,5,3,0,4,10,5,0,5,0,30,0,6,0,5,8,0,0,3,6,31,285,623,184,189,269,61,43,68,34,1755
SAL80055,4,0,19,4,8,8,0,3,0,56,0,0,0,0,0,0,0,0,0,0,7,4,4,7,8,0,0,0,0,31,3,5,0,5,3,0,0,0,0,21,250,476,200,127,193,64,28,48,19,1399
SAL80056,8,0,20,9,6,5,0,5,0,64,0,0,0,0,0,0,0,0,0,0,11,6,0,7,12,5,0,0,0,43,6,4,5,4,6,0,0,3,7,27,489,776,126,160,258,66,16,37,42,1982
SAL80057,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,4,263,431,23,30,103,30,0,8,22,907
SAL80058,18,8,61,29,25,16,0,13,0,170,0,0,0,0,0,0,0,0,0,4,8,11,3,11,6,3,4,5,0,58,0,10,8,12,5,3,4,8,28,82,600,1277,335,430,484,215,87,163,70,3668
SAL80059,0,0,4,3,3,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,4,152,263,99,58,107,18,19,22,14,749
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7
SAL80061,6,0,14,8,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,8,0,0,5,3,0,0,0,3,25,0,8,0,0,3,0,0,0,10,21,302,709,80,113,154,32,21,32,37,1468
SAL80062,6,5,6,4,9,5,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,0,3,0,4,0,0,0,0,14,172,274,173,89,158,31,20,29,24,967
SAL80063,4,0,11,8,15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,10,5,3,4,0,0,0,0,0,20,3,3,5,4,0,0,0,0,6,30,252,445,184,124,176,37,16,34,24,1291
SAL80064,10,12,51,24,44,9,9,7,0,172,0,0,0,0,0,0,0,0,0,3,10,10,3,4,11,0,6,0,0,54,5,9,8,6,11,3,11,5,13,69,512,855,398,298,538,88,88,83,66,2931
SAL80065,5,0,12,11,3,0,0,9,0,47,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,21,5,0,3,3,4,0,0,3,3,15,240,401,123,120,162,25,15,42,26,1156
SAL80066,17,8,37,12,11,4,0,3,0,91,0,0,0,0,0,0,0,0,0,0,3,6,0,0,7,0,3,0,0,27,0,3,8,10,5,0,6,3,5,40,293,655,179,209,308,67,43,44,39,1843
SAL80067,8,4,18,10,8,4,0,3,0,62,0,0,0,0,0,0,0,0,0,0,13,24,3,4,7,3,0,0,0,61,12,4,0,0,4,0,4,4,3,33,683,1273,125,172,297,81,18,37,53,2739
SAL80068,27,10,92,29,19,10,11,15,4,212,0,0,0,0,0,0,4,0,0,3,15,14,10,0,10,11,0,3,0,69,8,10,15,14,8,0,0,9,20,84,644,1276,428,531,521,233,93,206,71,4000
SAL80069,6,0,8,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,23,0,5,3,0,0,0,0,37,0,5,0,0,0,0,0,0,7,16,390,598,77,67,132,22,17,26,18,1350
SAL80070,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,44,8,8,15,5,0,3,0,114
SAL80071,21,5,71,18,26,11,4,9,0,160,0,0,0,0,0,3,0,0,0,4,15,20,5,12,6,0,0,0,0,65,10,13,11,9,5,3,0,3,27,86,770,1399,337,407,491,179,63,134,106,3883
SAL80072,5,0,16,7,3,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,12,3,0,0,6,5,0,0,0,19,0,3,0,0,0,0,0,0,3,10,261,429,95,117,126,50,23,35,17,1156
SAL80073,6,3,21,12,7,5,0,5,0,63,0,0,0,0,0,0,0,0,0,4,9,10,0,0,4,0,0,0,0,26,0,0,3,4,6,0,4,0,0,27,211,412,166,132,170,55,31,59,22,1245
SAL80074,11,0,3,0,10,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,6,7,0,0,8,0,0,0,0,21,0,0,0,0,0,0,3,0,8,15,256,459,98,65,140,35,18,29,33,1131
SAL80075,11,4,31,16,20,4,7,4,0,102,0,0,0,0,0,0,0,0,0,3,6,6,0,8,10,3,0,4,4,38,0,4,3,3,0,4,0,3,10,33,317,694,274,260,327,94,51,64,46,2129
SAL80076,4,3,12,3,6,6,0,3,0,30,0,0,0,0,0,0,0,0,0,0,13,14,0,6,5,0,0,0,0,38,4,3,0,0,5,0,0,3,4,11,327,547,68,97,128,33,13,27,26,1266
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6
SAL80078,5,0,10,6,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,210,405,51,63,122,20,15,17,15,912
SAL80079,9,5,29,22,24,0,5,10,0,108,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,19,3,0,7,6,9,5,4,4,6,48,222,428,253,218,254,49,51,63,31,1559
SAL80080,0,0,8,3,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,38,92,41,44,54,7,6,10,8,303
SAL80081,19,3,38,16,19,10,3,10,0,120,0,0,0,0,0,0,0,0,0,4,13,10,3,0,8,0,0,4,4,49,9,9,3,6,4,0,0,7,11,47,545,1014,315,291,397,110,46,117,52,2886
SAL80082,23,8,70,50,42,20,4,22,7,241,0,0,0,5,0,4,0,0,0,8,28,24,7,14,11,4,7,6,9,94,6,13,24,13,12,9,7,10,19,116,1016,1858,660,624,824,172,111,171,119,5556
SAL80083,15,3,26,12,14,3,0,6,0,69,0,0,0,0,0,0,0,0,0,0,20,33,0,11,5,0,0,0,3,78,10,10,7,3,7,0,0,0,10,39,1018,1901,129,228,408,81,15,38,87,3901
SAL80084,6,6,17,17,15,3,6,3,0,74,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,22,3,0,3,0,3,4,0,0,5,29,255,444,183,131,207,40,32,47,34,1368
SAL80085,10,3,24,3,0,3,0,8,0,58,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,20,0,12,0,0,3,0,0,3,8,26,209,628,122,162,175,80,47,71,31,1524
SAL80086,6,4,29,7,10,0,0,4,0,65,0,0,0,0,0,0,0,0,0,0,11,25,3,3,15,3,0,4,5,70,4,9,5,8,3,0,0,4,14,46,547,1170,172,230,304,99,34,117,62,2739
SAL80087,7,0,15,7,6,0,0,8,0,52,0,0,0,0,0,0,0,3,0,3,8,5,3,0,3,0,0,0,0,29,3,7,3,3,0,0,0,0,11,33,261,493,110,178,143,58,27,119,29,1417
SAL80088,4,0,11,4,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,4,12,0,6,4,0,3,0,0,0,0,7,122,200,66,50,90,6,13,14,8,560
SAL80089,22,3,52,22,21,11,15,8,0,150,0,0,0,0,0,0,0,0,0,0,5,12,3,7,10,3,5,4,5,56,4,9,6,6,4,6,3,7,12,47,476,872,349,361,421,109,60,108,70,2822
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,0,15,8,3,3,0,3,0,36,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,3,0,22,0,5,0,0,0,0,0,0,7,20,242,494,102,125,142,35,26,52,25,1246
SAL80092,3,3,15,8,5,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,7,6,0,3,3,0,0,5,4,30,10,0,3,0,3,0,3,4,6,26,282,520,134,158,190,63,18,95,23,1494
SAL80093,6,0,21,0,8,3,0,4,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,22,0,0,0,0,0,0,0,0,6,18,224,345,127,81,156,27,21,26,20,1028
SAL80094,10,0,21,6,12,5,0,3,0,60,0,0,0,0,0,0,0,0,0,0,6,9,0,0,3,0,0,4,0,20,3,3,3,0,4,0,0,0,0,22,260,465,151,115,156,38,19,47,25,1263
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,5,5,16,7,17,8,8,7,0,76,0,0,0,0,0,0,0,0,0,0,7,6,3,4,12,3,0,0,4,37,0,7,3,0,5,3,0,3,6,33,373,635,203,196,316,60,43,53,41,1924
SAL80098,15,7,38,19,21,8,9,7,0,112,0,0,0,0,0,0,0,0,0,3,7,3,5,4,12,5,8,3,0,39,4,4,5,8,4,4,0,3,13,47,366,803,242,284,336,92,75,83,51,2340
SAL80099,7,0,19,12,6,6,0,3,0,61,0,0,0,0,0,0,0,0,0,0,17,24,0,0,12,0,0,0,4,58,5,9,7,4,0,7,3,0,11,40,662,1112,174,173,275,77,39,60,64,2638
SAL80100,22,12,95,38,49,20,9,19,8,263,0,0,0,0,0,0,0,0,0,4,17,24,9,12,15,3,3,5,6,81,7,16,13,14,16,0,4,6,15,93,713,1418,536,550,683,178,98,152,84,4409
SAL80101,8,0,33,11,10,3,3,9,0,71,0,0,0,0,0,0,0,0,0,4,13,4,0,0,3,0,0,0,0,24,6,11,5,0,3,4,0,3,9,42,602,995,230,210,441,90,41,46,42,2707
SAL80102,4,3,13,12,5,0,0,0,0,49,0,0,0,0,4,0,0,0,0,4,14,18,3,8,10,0,0,0,0,48,5,3,5,4,8,0,0,4,7,42,610,1263,141,177,281,52,31,65,55,2668
SAL80103,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9,84,175,15,14,51,20,4,6,7,377
SAL80104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,29,10,17,12,6,0,10,0,102
SAL80105,3,0,9,8,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,3,0,0,0,5,0,0,0,0,10,105,203,79,52,89,28,16,11,12,606
SAL80106,7,0,14,6,7,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,14,0,0,5,3,3,5,0,6,8,27,172,401,114,103,129,51,31,55,27,1087
SAL80107,12,3,33,16,16,9,0,7,0,98,0,0,0,0,0,0,0,0,0,4,8,11,0,4,6,0,0,3,5,34,7,9,0,5,8,0,0,10,8,47,392,793,237,216,356,85,43,68,42,2238
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,9,0,9,4,4,4,0,5,0,29,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,6,14,298,414,74,91,131,46,12,27,13,1103
SAL80110,13,9,43,13,19,0,3,3,3,105,0,0,0,0,0,0,0,0,0,0,12,14,0,0,7,0,3,4,3,36,4,11,5,4,0,0,0,4,14,40,413,1290,223,304,386,137,49,129,52,2981
SAL80111,5,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,12,5,8,0,0,3,0,58
SAL80112,9,0,13,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,9,0,0,4,0,0,0,0,31,0,4,0,0,0,0,0,0,0,13,337,616,51,72,133,41,6,16,35,1307
SAL80113,8,0,16,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,3,20,0,7,0,0,0,0,0,0,3,12,165,327,59,26,83,10,6,12,14,717
SAL80114,6,0,11,8,10,7,6,9,0,55,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,14,3,0,3,3,5,0,3,5,0,25,136,258,183,135,165,44,54,48,21,1044
SAL80115,6,0,15,5,3,3,0,4,0,37,0,0,0,0,0,0,0,0,0,0,10,6,5,4,3,0,0,0,0,24,5,5,4,5,3,0,0,5,3,27,219,488,133,119,166,22,12,29,27,1224
