SAL_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,0,0,0
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,165,14,0,0,14,0,176,9,16,0,0,20,0,28,0,0,0,0,4,0,4,0,0,0,0,0,0,0,9,17,3,0,19,0,33,0,0,0,0,0,0,0,173,25,3,0,33,0,206,226,12,0,0,12,0,233,19,24,3,0,30,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,4,0,27,0,43,0,0,0,0,0,0,0,244,30,4,0,37,0,280,121,5,0,0,5,0,125,8,6,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,8,0,15,0,0,0,0,0,0,0,128,16,0,0,10,0,139,74,0,0,0,0,0,74,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,75,3,0,0,3,0,79,96,0,0,0
SAL80019,202,10,0,0,10,0,209,15,84,0,0,84,0,98,0,11,0,0,12,0,11,0,0,0,0,0,0,0,18,92,0,0,96,0,111,0,0,0,0,0,0,0,213,107,0,0,105,0,324,285,13,0,0,13,0,299,15,91,5,0,96,0,112,0,6,5,0,13,0,15,0,0,0,0,0,0,0,17,99,4,0,107,0,127,0,0,0,0,0,0,0,300,118,4,0,121,0,419,175,7,0,0,7,0,189,9,52,0,0,55,0,63,0,5,0,0,4,0,4,0,0,0,0,0,0,0,9,56,4,0,63,0,69,0,0,0,0,0,0,0,182,70,4,0,70,0,256,126,5,0,0,5,0,128,3,28,0,0,28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,36,0,38,0,0,0,0,0,0,0,133,35,0,0,35,0,169,174,4,0,0
SAL80020,94,0,0,0,0,0,95,4,27,0,0,27,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,27,0,24,0,0,0,0,0,0,0,99,29,0,0,29,0,127,108,7,0,0,7,0,117,0,21,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,0,0,0,0,0,0,108,23,0,0,23,0,133,87,3,0,0,3,0,85,4,12,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,12,0,20,0,0,0,0,0,0,0,86,16,0,0,16,0,106,60,0,0,0,0,0,60,0,8,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,10,0,0,0,0,0,0,0,60,8,0,0,8,0,69,73,0,0,0
SAL80021,198,7,0,0,7,0,200,5,42,0,0,46,0,48,0,4,0,0,4,0,4,0,0,0,0,0,0,0,5,46,0,0,45,0,53,0,0,0,0,0,0,0,205,52,0,0,56,0,262,225,4,0,0,3,0,230,8,55,0,0,59,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,0,0,60,0,67,0,0,0,0,0,0,0,237,63,3,0,67,0,301,127,5,0,0,5,0,134,8,22,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,0,0,23,0,32,0,0,0,0,0,0,0,135,31,0,0,28,0,164,96,0,0,0,0,0,96,3,17,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,14,0,18,0,0,0,0,0,0,0,97,17,0,0,14,0,115,106,0,0,0
SAL80022,20,0,0,0,0,0,26,10,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,14,0,0,0,0,0,0,0,32,9,0,0,9,0,38,9,9,0,0,9,0,15,7,7,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,13,0,23,0,0,0,0,0,0,0,18,15,0,0,15,0,33,10,0,0,0,0,0,10,0,12,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,10,0,0,0,0,0,0,0,11,12,0,0,12,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,3,0,6,7,0,0,0
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,66,9,0,0,9,0,72,20,184,6,0,191,0,210,0,12,0,0,18,0,18,0,0,0,0,0,0,0,20,196,5,0,209,0,224,0,0,0,0,0,0,0,86,204,5,0,208,0,295,38,3,0,0,3,0,40,3,86,0,0,85,0,90,0,11,8,0,14,0,14,0,0,0,0,0,0,0,3,91,10,0,99,0,102,0,0,0,0,0,0,0,37,100,10,0,107,0,143,11,0,0,0,0,0,19,7,24,5,0,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,4,0,31,0,36,0,0,0,0,0,0,0,16,28,4,0,31,0,53,7,0,0,0,0,0,7,0,9,0,0,12,0,17,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,16,0,0,14,0,20,0,0,0,0,0,0,0,6,16,0,0,14,0,23,10,0,0,0
SAL80025,208,22,0,0,22,0,229,23,244,5,5,247,0,277,0,13,7,0,21,0,21,0,0,0,0,0,0,0,23,257,16,0,274,0,299,0,0,0,0,0,0,0,236,278,16,0,296,0,531,283,12,0,0,12,0,300,22,331,7,5,339,0,363,0,22,9,0,33,0,33,0,0,0,0,0,0,0,22,350,14,3,374,0,393,0,0,0,0,0,0,8,313,365,14,3,385,0,698,150,6,0,0,6,0,153,21,170,0,0,173,0,196,0,14,3,0,12,0,12,0,0,0,0,0,0,0,21,177,4,0,187,0,205,3,0,0,0,0,0,0,169,192,4,0,195,0,363,67,4,0,0,4,0,67,15,64,0,0,67,0,82,0,8,3,0,14,0,14,0,0,0,0,0,0,0,15,78,0,0,83,0,96,0,0,0,0,0,0,0,79,75,0,0,84,0,159,87,5,0,0
SAL80026,116,5,0,0,5,0,121,14,57,0,5,60,0,73,0,4,0,0,4,0,0,0,0,0,0,0,0,0,14,58,0,5,65,0,77,0,0,0,0,0,0,0,131,66,0,5,69,0,198,115,8,0,0,8,0,124,12,54,0,0,55,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,0,56,0,66,0,0,0,0,0,0,0,122,64,0,0,60,0,189,61,5,0,0,5,0,67,5,24,0,0,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,24,0,31,0,0,0,0,0,0,0,65,26,0,0,29,0,95,54,0,0,0,0,0,50,0,16,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,19,0,0,0,0,0,0,0,50,14,0,0,14,0,65,59,3,0,0
SAL80027,71,4,0,0,4,0,76,10,49,0,0,48,0,57,0,3,5,0,6,0,6,0,0,0,0,0,0,0,10,52,3,0,59,0,62,0,0,0,0,0,0,0,79,54,3,0,58,0,138,29,0,0,0,0,0,32,10,25,0,0,25,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,25,0,37,0,0,0,0,0,0,0,36,27,0,0,27,0,68,21,0,0,0,0,0,25,3,8,4,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,13,0,15,0,0,0,0,0,0,0,23,15,4,0,14,0,37,11,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,3,0,0,3,0,22,13,0,0,0
SAL80028,111,6,0,0,8,0,121,18,98,4,0,97,0,112,0,4,0,0,4,0,4,0,0,0,0,0,0,0,18,97,4,0,103,0,117,0,0,0,0,0,0,0,129,105,8,0,108,0,241,113,5,0,0,5,0,122,14,90,0,0,84,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,86,0,0,92,0,103,0,0,0,0,0,0,0,128,93,0,0,96,3,224,56,0,0,0,0,0,57,4,34,0,0,37,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,7,0,38,0,40,0,0,0,0,0,0,0,60,35,7,0,41,0,99,30,0,0,0,0,0,33,0,17,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,20,0,0,0,0,0,0,0,28,18,0,0,18,0,48,41,0,0,0
SAL80029,244,8,0,0,8,4,259,8,48,0,0,48,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0,48,0,55,3,0,0,0,0,0,3,258,53,0,0,53,4,317,232,14,0,0,14,0,242,12,51,0,0,54,0,68,0,3,0,0,3,0,3,0,0,0,0,0,0,0,12,59,0,0,59,0,70,0,0,0,0,0,0,0,243,64,0,0,66,0,311,132,3,0,0,3,0,137,7,20,0,0,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,22,0,38,0,0,0,0,0,0,0,137,30,0,0,29,0,170,74,0,0,0,0,0,73,3,18,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,23,0,25,0,0,0,0,0,0,0,79,18,0,0,20,0,104,114,4,0,0
SAL80030,147,12,0,0,12,0,155,23,34,4,0,34,0,52,0,3,0,0,3,0,3,0,0,0,0,0,0,0,23,33,4,0,37,0,58,0,0,0,0,0,0,0,164,41,4,0,45,0,211,139,5,0,0,5,0,150,14,25,0,0,27,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,27,0,44,0,0,0,0,0,0,0,158,25,0,0,33,0,189,101,4,0,0,4,0,106,10,6,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,6,0,21,0,0,0,0,0,0,0,112,12,0,0,12,0,125,61,0,0,0,0,0,65,0,10,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,13,0,0,0,0,0,0,0,68,12,0,0,13,0,79,97,3,0,0
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,5,4,0,0,4,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,305,19,0,0,19,0,324,29,211,0,0,216,0,247,0,4,0,0,12,0,7,0,0,0,0,0,0,0,30,217,6,0,223,0,257,0,0,0,0,0,0,0,335,242,6,0,248,0,583,248,11,0,0,11,0,260,25,202,4,0,208,0,231,4,6,3,0,10,0,12,0,0,0,0,0,0,0,30,209,7,0,213,0,249,0,0,0,0,0,0,0,282,221,7,0,233,0,512,110,3,0,0,3,0,114,12,84,0,0,84,0,91,0,3,4,0,9,0,9,0,0,0,0,0,0,0,12,86,4,0,88,0,95,0,0,0,0,0,0,0,119,85,4,0,88,0,211,56,0,0,0,0,0,59,7,36,0,0,36,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0,0,35,0,41,0,0,0,0,0,0,0,66,34,0,0,36,0,103,79,4,0,0
SAL80034,65,4,0,0,4,0,64,7,9,0,0,9,0,19,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,14,0,0,14,0,21,0,0,0,0,0,0,0,72,18,0,0,18,0,87,135,0,0,0,0,0,141,5,20,0,0,20,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,19,0,23,0,0,0,0,0,0,0,144,23,0,0,23,0,164,94,0,0,0,0,0,99,3,13,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13,0,14,0,0,0,0,0,0,0,94,13,0,0,13,0,111,75,0,0,0,0,0,82,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,77,6,0,0,6,0,78,87,3,0,0
SAL80035,113,7,0,0,7,0,123,4,37,0,0,35,0,39,0,6,0,0,10,0,10,0,0,0,0,0,0,0,4,47,3,0,46,0,53,0,0,0,0,0,0,0,119,46,3,0,55,0,172,110,0,0,0,0,0,115,8,22,0,0,20,0,33,0,3,0,0,4,0,4,0,0,0,0,0,0,0,12,28,0,0,27,0,36,0,0,0,0,0,0,0,120,32,0,0,31,0,151,61,0,0,0,0,0,69,0,5,0,0,5,0,5,0,3,0,0,6,0,6,0,0,0,0,0,0,0,0,9,0,0,10,0,10,0,0,0,0,0,0,0,61,12,0,0,15,0,76,35,5,0,0,5,0,37,0,3,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,12,0,0,0,0,0,0,0,37,8,0,0,9,0,48,33,0,0,0
