SAL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,16,0,0,16
SAL80015,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,18,0,0,0,20,3,0,24,361,57,9,0,422,0,0,0,424,16,0,441,221,51,0,0,277,0,0,3,278,7,0,283,42,8,5,0,48,0,0,0,48,0,0,48,0,0,0,3,3,0,0,0,3,0,0,8,618,110,17,3,756,0,4,3,759,19,0,779,7,0,0,0,13,0,0,0,13,0,0,10,6,3,0,0,6,0,0,0,6,0,0,5,12,4,0,0,14,0,0,0,14,3,0,18,631,116,17,3,767,0,4,3,773,25,0,796,75,11,0,0,83,4,0,4,83,19,0,104,0,0,0,0,0,0,0,0,0,0,0,0,710,121,17,3,854,5,4,5,860,42,0,904
SAL80019,43,0,0,0,46,6,0,49,606,54,8,0,672,6,0,6,674,16,0,696,412,58,12,5,483,3,5,3,489,10,0,499,57,5,13,0,67,0,0,0,67,0,0,72,0,0,0,5,4,0,0,0,4,0,0,4,1070,118,36,10,1232,12,5,14,1244,27,0,1268,13,0,0,0,13,4,0,4,17,0,0,17,11,0,0,0,11,0,0,0,11,0,0,11,23,0,0,0,20,4,0,4,26,0,0,26,1091,118,36,10,1255,11,5,21,1270,27,0,1293,190,24,10,0,214,7,0,7,228,33,0,258,3,0,0,0,3,0,0,0,3,0,0,3,1287,137,41,10,1477,21,5,25,1501,59,0,1556
SAL80020,20,0,0,0,20,0,0,19,236,27,0,0,267,0,0,0,267,16,0,288,144,23,3,0,171,0,0,0,171,0,0,174,33,4,0,0,39,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,415,57,6,0,476,0,0,0,476,22,0,493,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,8,0,0,8,427,57,6,0,487,0,0,0,487,22,0,502,32,8,0,0,41,0,0,0,41,11,0,47,4,0,0,0,4,0,0,0,4,0,0,4,455,69,6,0,528,0,0,0,528,26,0,555
SAL80021,16,0,0,0,16,5,0,19,406,36,12,5,459,6,0,4,464,15,0,478,288,26,11,0,326,0,3,5,327,6,0,333,54,4,12,0,63,0,0,0,63,6,0,66,0,5,0,0,4,0,0,0,4,0,0,7,746,72,24,11,858,5,5,12,865,27,0,893,11,7,0,0,11,0,0,0,11,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,12,7,0,0,20,0,0,0,20,0,0,20,758,80,24,11,876,5,5,12,887,27,0,912,98,16,0,0,116,0,0,0,112,19,0,130,0,0,0,0,0,0,0,0,0,0,0,0,857,90,24,11,987,5,7,14,997,41,0,1047
SAL80022,4,0,0,0,4,0,0,5,50,12,0,0,57,5,0,5,66,5,0,68,21,4,0,0,25,0,0,0,25,0,0,25,4,0,0,0,9,0,0,0,9,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,75,16,0,0,91,5,0,5,95,4,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,0,7,0,0,9,0,0,0,9,0,0,9,77,21,0,0,101,5,0,5,106,4,0,111,8,0,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,89,18,0,0,113,3,0,3,115,4,0,124
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,3,0,0,0,3,0,0,3,115,25,3,0,146,4,0,4,151,14,0,159,107,53,0,3,162,0,0,4,167,10,0,178,25,3,4,0,33,0,0,0,33,0,0,33,3,0,0,0,4,0,0,0,4,0,0,4,252,87,9,3,348,3,0,8,356,19,0,382,14,3,0,0,15,0,0,0,22,0,0,22,8,0,0,0,12,0,0,0,12,3,0,11,25,0,0,0,30,0,0,0,28,3,0,31,273,94,9,3,374,8,0,10,386,23,0,412,92,33,0,3,126,0,0,0,126,20,0,149,0,3,0,0,3,0,0,0,3,0,4,5,365,130,13,8,504,8,0,10,520,38,3,564
SAL80025,49,0,0,0,50,0,0,47,774,44,11,4,829,12,0,12,840,40,0,879,513,87,6,5,611,0,0,0,613,14,5,630,49,11,4,3,70,0,0,0,70,0,0,71,25,0,0,10,35,0,0,0,35,0,4,41,1364,141,20,22,1550,14,0,14,1560,57,4,1626,17,0,0,0,18,3,0,3,21,0,0,21,24,3,0,0,23,7,0,7,31,0,0,31,45,5,0,0,47,7,0,7,58,0,0,58,1409,145,20,22,1598,15,0,15,1617,57,4,1680,240,53,11,14,320,15,0,17,335,42,6,376,13,0,0,4,18,0,0,0,18,0,3,24,1658,197,35,47,1930,35,0,34,1968,95,15,2083
SAL80026,20,0,0,0,20,0,0,20,233,21,11,0,263,0,3,4,268,12,0,284,201,21,0,0,230,5,0,8,231,5,0,235,49,0,5,0,55,0,0,0,55,0,0,55,0,0,0,0,5,0,0,0,5,0,0,11,480,47,20,4,549,4,6,9,556,17,4,581,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,490,47,20,4,553,4,6,9,557,17,4,585,87,5,0,0,95,0,0,0,100,9,0,106,0,0,0,0,0,0,0,0,0,5,0,12,575,49,21,8,653,9,6,11,658,31,7,700
SAL80027,4,0,0,0,4,0,0,4,119,9,0,0,125,0,0,0,125,3,0,132,56,11,0,0,65,5,0,5,71,4,0,71,23,3,3,0,30,0,0,0,30,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,206,19,4,0,224,5,0,5,232,8,0,240,0,0,0,0,6,3,0,3,7,0,0,7,6,0,0,0,6,0,0,0,6,0,0,6,11,0,0,0,11,3,0,3,15,0,0,15,215,25,4,0,237,6,0,6,246,8,0,252,26,16,0,0,44,0,0,0,45,7,0,52,0,0,0,0,0,0,0,0,0,0,0,0,241,34,5,0,276,4,0,4,285,14,0,298
SAL80028,20,0,0,0,20,0,0,19,263,31,9,0,299,3,0,3,302,16,0,320,195,25,6,0,224,0,0,0,223,4,3,234,25,3,0,3,38,4,0,4,38,0,0,44,0,0,0,3,3,0,0,0,3,0,0,3,489,58,14,6,567,5,0,5,573,26,3,596,6,3,0,0,10,0,0,0,10,0,0,10,18,0,0,0,18,0,0,0,19,0,0,19,20,3,0,0,18,0,0,0,22,0,0,22,507,62,14,6,584,5,0,7,597,26,3,619,107,12,0,0,116,0,0,0,116,9,0,127,0,0,0,0,0,0,0,0,0,0,0,0,618,72,12,11,705,5,0,7,713,35,3,748
