SAL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,12,9,9,6,7,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,24,12,27,14,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,6,4,0,6,14,19,24,16,24,15,0,113,11,16,6,3,3,0,0,44,0,0,0,0,0,0,0,0,25,32,29,21,29,16,0,157
SAL80019,5,15,11,5,11,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,27,25,30,8,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,27,25,34,10,3,145,4,6,5,6,4,6,0,32,0,0,0,0,0,0,0,0,24,44,28,30,36,12,4,181
SAL80020,0,4,3,4,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,11,9,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,5,11,9,3,52,6,9,4,0,4,0,0,18,0,0,0,0,0,0,0,0,6,16,15,9,14,9,3,68
SAL80021,14,15,10,7,7,3,0,65,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,26,43,32,28,37,15,8,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,32,29,37,15,8,188,17,17,11,4,3,0,3,53,0,0,0,0,0,0,0,0,39,56,45,35,48,14,7,243
SAL80022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,4,4,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,24
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,12,6,10,5,5,0,5,36,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,24,28,21,14,18,13,3,122,0,3,0,0,3,0,0,7,7,0,0,0,0,0,0,7,7,4,4,0,3,0,0,19,26,38,18,16,18,13,3,136,25,25,13,3,9,0,3,70,4,0,0,0,0,0,0,4,48,57,35,19,29,13,10,206
SAL80025,7,22,28,16,5,0,0,77,3,4,0,0,0,0,0,7,3,0,0,0,0,0,0,3,31,61,58,36,37,17,5,249,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,11,37,62,63,38,44,17,5,263,8,24,14,4,14,0,0,65,4,0,0,0,0,0,0,3,47,87,73,39,55,17,6,330
SAL80026,5,9,10,3,9,3,0,54,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,35,21,18,23,12,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,21,18,23,12,5,129,10,5,3,6,7,6,0,43,0,0,4,4,0,0,0,7,28,43,22,30,34,18,5,181
SAL80027,7,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,9,5,8,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,10,8,9,10,8,3,57,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,16,8,9,9,12,7,73
SAL80028,4,11,7,3,0,0,0,26,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,46,19,8,22,10,3,127,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,20,46,19,15,22,13,3,130,6,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,22,44,18,15,24,15,3,142
SAL80029,7,16,8,0,10,0,0,50,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,20,35,25,22,34,15,5,158,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,25,36,25,21,33,15,5,161,13,13,5,3,7,5,0,48,0,0,0,0,0,0,0,0,40,50,34,24,36,15,6,214
SAL80030,4,10,4,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,6,6,19,5,3,63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,6,6,19,5,3,73,3,6,0,7,0,3,5,17,0,0,0,0,0,0,0,0,7,24,11,10,19,11,9,89
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,0,18,10,8,11,4,0,62,5,4,0,0,0,3,0,13,0,0,0,0,0,0,0,0,24,61,32,30,46,23,0,211,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,5,24,64,32,30,50,20,0,220,12,3,5,0,9,0,0,22,0,0,0,0,0,0,0,0,36,65,39,24,57,20,0,244
SAL80034,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,20,13,9,12,9,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,13,9,12,9,3,67,6,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,9,18,13,4,15,9,3,75
SAL80035,7,11,8,5,10,7,0,51,4,4,4,0,0,0,0,9,0,4,0,0,0,0,0,4,18,39,29,19,19,3,6,122,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,13,3,3,0,0,3,0,0,12,21,37,36,19,22,9,6,137,17,14,12,5,14,6,3,62,0,0,0,0,0,0,0,0,34,53,48,19,29,10,8,199
SAL80036,4,8,6,0,0,0,0,20,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,14,13,9,16,3,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,16,9,16,3,6,68,5,0,5,0,6,0,0,15,0,0,0,0,0,0,0,0,11,14,18,12,17,3,6,78
SAL80037,8,8,9,6,13,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,32,32,18,22,15,5,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,32,18,22,15,5,153,20,25,10,8,8,0,3,73,0,0,0,0,0,0,0,0,44,57,40,30,29,15,8,224
SAL80038,0,0,3,0,4,0,0,10,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,6,3,5,12,7,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,5,12,7,3,48,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,6,3,9,12,12,5,55
SAL80039,8,23,12,3,11,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,20,56,33,16,42,8,5,179,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,5,21,59,33,16,42,8,5,182,18,28,7,15,12,0,0,89,0,0,0,0,0,0,0,0,43,86,40,32,54,8,9,271
SAL80040,3,7,4,0,5,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,11,6,19,9,6,72,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,8,13,11,6,22,9,6,76,5,8,6,0,0,0,0,19,0,0,0,0,0,0,0,0,11,24,16,9,20,9,6,96
SAL80041,6,18,6,4,7,3,3,45,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,56,24,16,24,7,6,144,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,7,0,0,0,0,0,0,11,23,58,24,18,24,7,6,151,16,14,3,0,6,6,0,38,0,0,0,0,0,0,0,0,35,72,24,17,27,13,6,196
SAL80042,10,10,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,26,17,21,3,8,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,26,17,21,3,8,115,6,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,31,29,26,13,17,4,8,129
SAL80043,6,6,5,8,7,8,3,41,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,26,21,17,19,20,5,110,3,0,3,0,4,0,0,9,0,0,0,0,0,0,0,5,3,0,9,9,4,0,0,20,7,27,23,20,19,20,4,128,0,6,8,4,4,3,0,32,0,0,0,0,0,0,0,0,9,34,31,27,23,19,4,158
SAL80044,0,0,5,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,8,19,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,8,19,5,0,62,0,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,3,15,15,8,20,4,7,76
SAL80045,5,12,5,0,4,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,21,15,3,10,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,23,15,3,18,0,0,67,4,11,4,3,5,0,0,22,0,0,0,0,0,0,0,0,11,32,19,3,21,5,0,86
SAL80046,0,9,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,18,11,5,9,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,18,10,5,9,0,65,3,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,23,22,10,9,7,0,88
SAL80047,4,11,7,7,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,14,13,14,5,3,88,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,12,28,16,13,14,4,4,93,26,10,3,7,3,8,0,55,0,0,0,0,0,0,0,3,34,34,21,21,22,10,4,150
SAL80048,0,7,9,5,4,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,22,11,16,21,3,0,74,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,6,24,15,21,21,3,0,84,9,4,9,3,0,0,0,26,0,0,0,0,0,0,0,0,12,21,16,26,25,3,0,107
SAL80049,19,24,14,3,16,5,3,81,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,57,47,27,38,8,10,215,0,0,0,0,0,0,0,3,0,5,0,6,4,3,0,14,0,5,0,3,3,3,0,21,31,64,50,29,42,14,10,232,21,31,14,7,8,0,3,96,0,0,0,0,0,0,0,10,49,96,66,41,56,13,12,331
SAL80050,12,19,17,8,12,0,0,73,7,3,0,0,5,0,0,5,0,0,0,0,0,0,0,0,15,51,33,30,36,15,4,186,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,5,0,3,0,0,5,0,0,5,16,51,33,30,38,18,4,192,9,13,13,5,4,0,0,46,0,0,0,0,0,0,0,0,29,65,43,35,45,18,4,239
SAL80051,3,0,5,0,6,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,8,7,9,9,5,0,45,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,8,11,9,3,3,53,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,9,13,12,12,4,4,62
SAL80052,0,7,8,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,17,15,10,10,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,8,6,24,21,16,10,10,3,88,4,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,10,24,20,13,15,10,3,101
SAL80053,0,3,5,3,9,0,0,24,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,21,9,12,13,6,0,72,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,23,15,12,13,6,0,72,3,11,3,0,9,0,0,28,0,0,0,0,0,0,0,0,14,32,17,12,14,6,0,102
SAL80054,7,21,21,0,8,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,37,33,8,24,5,10,126,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,5,3,0,0,0,0,0,12,10,40,32,8,21,5,9,143,9,18,9,6,7,5,0,56,0,0,0,0,0,0,0,0,23,55,44,16,31,13,12,200
SAL80055,0,5,15,0,8,3,0,28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,25,19,10,21,3,7,87,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,7,4,26,20,10,26,3,7,96,5,5,4,5,0,0,0,20,0,0,0,0,0,0,0,0,13,35,28,10,27,3,8,119
SAL80056,9,3,3,0,6,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,30,23,9,14,5,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,23,9,18,8,3,105,4,7,0,0,0,4,0,18,0,0,0,0,0,0,0,0,17,36,26,12,23,11,0,127
SAL80057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,4,0,0,34,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,10,9,7,12,0,0,34
