SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,4,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,4,3,5,0,0,9,3,53
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,5,9,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,5,5,0,0,0,0,43
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,8,0,0,0,0,37
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,3,118,7,285,62,147,10,35,4,669,13,135,11,207,82,75,4,27,6,547,4,65,6,8,12,10,3,3,0,114,0,10,4,0,4,0,0,0,0,17,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,326,25,502,151,232,15,65,14,1361
SAL80018,0,10,18,54,8,58,3,5,0,165,17,78,15,69,68,37,8,16,6,301,82,240,33,38,59,12,0,19,9,509,193,262,30,18,45,11,4,16,9,581,193,249,28,31,60,12,12,16,18,621,109,152,21,23,50,10,0,10,11,380,17,62,7,3,7,4,4,0,5,109,0,9,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,610,1063,148,240,300,146,30,91,54,2674
SAL80019,7,5,32,54,11,84,4,45,7,245,19,42,59,54,51,39,6,16,9,300,71,201,100,71,84,37,33,33,17,647,199,292,66,62,133,36,13,23,9,832,231,258,79,89,181,29,19,24,16,933,89,97,40,27,85,16,13,5,4,374,15,16,3,9,18,0,4,6,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,626,913,377,368,563,237,100,161,61,3401
SAL80020,0,3,5,21,9,24,0,15,0,71,4,26,17,26,10,10,0,15,0,114,34,94,23,18,16,14,4,19,6,227,92,125,13,18,22,11,0,15,8,309,98,129,10,14,34,3,0,7,3,305,55,103,18,3,23,7,0,0,6,215,8,25,0,0,3,0,0,0,0,45,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,294,526,82,103,124,68,6,69,27,1307
SAL80021,3,4,39,27,4,71,7,36,4,194,13,28,63,66,56,33,12,22,7,296,63,116,131,75,125,34,39,33,21,631,119,162,86,69,153,28,28,32,22,692,141,152,74,45,159,38,39,35,17,687,71,84,47,34,93,19,33,32,10,414,4,13,7,7,12,8,8,5,0,64,0,4,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,4,407,555,451,320,595,231,167,187,72,2986
SAL80022,0,0,0,3,0,7,0,3,0,24,14,46,6,19,21,5,0,3,0,100,88,234,13,34,41,3,0,8,12,430,80,108,4,13,17,4,0,0,9,238,76,69,6,5,33,9,0,0,5,208,38,68,3,8,16,6,0,0,7,160,14,42,0,0,12,4,0,0,0,71,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,306,576,35,87,149,36,4,14,36,1239
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL80024,3,4,11,39,9,30,5,15,3,123,34,192,81,217,132,173,26,58,17,922,276,907,253,342,292,232,68,148,49,2573,166,362,95,106,135,38,24,42,17,979,88,139,27,45,70,12,9,22,10,429,45,79,13,38,39,4,3,20,3,248,12,30,0,5,10,3,3,4,0,72,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,629,1719,488,788,688,498,141,309,106,5364
SAL80025,3,11,19,40,10,79,0,39,5,208,8,50,49,70,58,48,12,33,4,332,106,252,124,118,136,57,38,65,39,926,255,468,120,154,215,48,36,46,45,1386,141,258,71,83,123,22,24,33,20,775,32,70,24,24,35,17,11,25,3,241,4,15,6,0,10,5,8,12,0,50,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,551,1119,417,492,592,282,122,247,114,3923
SAL80026,0,8,17,25,4,46,5,15,5,119,11,44,32,27,28,22,9,7,5,184,36,130,60,40,79,33,9,26,13,423,91,155,48,42,84,18,9,19,17,470,108,113,47,30,114,15,9,15,5,458,55,76,41,20,82,4,12,17,11,323,10,22,4,8,19,12,6,5,6,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,312,539,247,202,418,145,56,110,56,2076
SAL80027,0,5,0,16,4,12,0,4,0,44,54,327,41,146,176,67,7,18,20,847,400,1129,115,144,279,62,20,34,35,2205,290,396,35,29,84,14,3,22,20,897,136,142,14,27,46,7,4,4,7,395,77,101,12,17,26,6,3,0,3,260,13,28,3,3,6,0,0,4,0,62,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,971,2136,221,383,625,165,33,90,88,4717
SAL80028,0,14,11,117,20,98,7,33,8,315,55,195,71,268,123,192,19,67,21,1006,171,598,155,221,207,105,31,101,42,1638,197,367,53,42,112,25,11,34,11,847,126,203,27,30,68,14,3,9,17,497,68,128,14,13,44,6,0,3,6,288,28,38,3,4,14,3,5,4,0,92,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,637,1548,342,701,593,445,73,251,103,4694
SAL80029,3,0,26,38,14,62,6,29,0,178,9,41,57,57,41,46,9,29,8,293,84,171,140,69,151,36,19,35,11,728,129,177,83,61,107,15,20,17,21,639,147,170,75,61,130,17,15,23,16,662,93,128,48,50,137,33,20,32,17,549,16,24,7,10,27,5,10,8,0,115,6,4,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,488,726,442,346,603,221,108,175,74,3172
SAL80030,339,33,10,57,4,53,0,18,0,509,587,199,21,158,84,30,0,11,34,1118,221,358,39,83,98,25,5,25,15,867,191,215,17,49,59,16,4,12,13,572,235,183,19,35,55,4,4,6,16,560,129,138,13,15,47,10,4,10,9,371,24,64,6,5,10,3,4,0,4,111,3,10,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1729,1195,126,392,357,136,24,71,89,4127
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,13,3,4,0,6,6,0,0,0,0,20,4,4,0,0,4,0,5,0,0,17,0,0,0,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,5,13,11,5,0,4,0,63
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,0,8,10,34,15,76,3,26,0,169,15,39,44,51,62,30,9,16,11,270,144,293,128,133,138,64,53,46,29,1030,284,434,141,107,234,32,24,31,30,1318,148,172,53,62,126,22,18,21,18,638,53,75,23,23,62,13,3,19,8,279,11,12,4,6,11,5,0,8,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,661,1032,409,410,650,240,113,166,90,3772
SAL80034,0,0,13,32,13,34,0,16,0,110,0,14,22,19,21,12,8,9,5,101,11,56,17,15,18,11,0,4,0,134,99,140,14,13,30,8,0,3,11,310,121,153,18,24,57,9,6,5,9,396,68,100,9,13,26,5,4,4,4,250,10,34,4,5,14,4,4,3,0,82,0,5,0,4,4,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,315,509,98,119,181,82,20,40,33,1393
SAL80035,0,0,12,17,4,18,3,16,0,60,11,21,27,24,17,14,8,10,0,120,49,89,82,46,59,18,19,22,12,399,54,89,55,69,67,22,11,22,7,411,46,55,45,37,67,10,14,16,7,308,14,28,25,22,36,8,7,13,0,153,6,7,12,4,9,7,4,5,3,48,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,181,293,254,218,255,97,76,114,34,1514
SAL80036,0,0,13,20,3,27,3,5,0,71,7,34,18,27,18,18,4,14,0,140,50,155,40,47,49,28,8,61,10,446,97,134,24,28,40,5,4,26,0,368,72,99,26,18,30,11,9,9,6,277,35,52,11,20,25,11,3,3,0,165,4,6,4,3,14,0,4,0,0,39,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,268,489,138,161,181,98,32,121,28,1504
SAL80037,0,4,14,32,14,44,8,19,4,150,8,18,58,46,36,29,7,18,5,234,63,135,119,67,113,36,14,30,23,602,106,173,88,46,92,25,25,32,18,610,113,116,69,42,112,21,28,22,12,531,86,86,46,52,103,23,36,50,18,500,9,34,17,13,20,8,11,7,3,125,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,393,566,409,299,488,191,139,191,81,2753
SAL80038,3,35,8,99,25,75,3,26,4,274,36,187,17,129,78,84,5,18,13,565,198,593,58,63,120,43,6,30,20,1127,116,179,27,26,52,8,5,6,13,432,86,120,7,16,34,3,0,7,7,280,52,78,5,9,23,5,0,0,7,185,18,16,0,5,9,0,0,0,0,54,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,513,1207,124,348,347,216,17,85,66,2925
SAL80039,4,8,26,42,4,76,4,41,6,213,10,38,64,44,53,36,6,21,7,282,58,129,93,58,107,23,17,20,15,527,125,156,61,59,108,19,22,20,16,590,149,177,71,71,166,25,20,18,12,725,84,88,46,45,127,20,26,26,11,480,7,20,6,4,19,9,6,10,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,621,378,322,588,214,106,157,56,2887
SAL80040,0,6,3,14,5,25,0,16,0,66,5,25,12,20,18,16,0,7,0,104,53,113,30,35,40,11,8,12,3,302,107,162,20,32,37,9,3,18,3,390,116,177,24,16,39,7,0,12,9,398,39,82,13,12,34,7,0,9,7,197,10,25,5,5,3,3,0,0,3,52,4,5,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,322,604,108,136,176,73,15,67,26,1530
SAL80041,0,7,6,30,5,30,5,14,6,104,14,67,36,58,37,32,8,12,5,269,120,441,104,113,152,51,19,53,29,1087,190,376,66,90,111,32,20,26,14,915,109,137,29,26,48,5,14,15,3,388,21,33,11,9,41,5,0,11,0,128,3,9,3,6,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,1061,249,328,391,162,57,132,59,2913
SAL80042,0,4,6,32,8,30,0,12,0,94,21,33,33,41,33,20,6,9,4,195,123,241,71,94,97,27,12,30,12,721,226,364,79,81,148,24,8,17,20,974,135,176,30,44,76,15,10,10,12,497,56,47,14,18,41,8,6,8,3,194,5,9,0,0,10,0,0,0,4,22,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,561,876,239,301,415,134,41,85,52,2707
SAL80043,0,10,18,57,10,45,3,16,4,154,8,49,22,51,44,38,3,17,6,231,67,203,41,61,62,17,13,45,7,515,197,308,38,35,59,14,3,26,13,704,221,266,36,20,78,19,3,10,14,664,98,197,30,18,70,12,9,9,11,449,21,63,5,5,9,0,0,4,0,108,0,6,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,612,1095,195,246,331,132,41,125,62,2839
SAL80044,0,3,0,33,8,26,4,8,0,92,3,43,10,29,30,11,4,4,3,126,30,114,17,15,27,3,0,9,4,217,110,147,10,19,42,4,0,5,6,340,113,172,9,29,39,10,0,8,9,375,67,125,6,16,26,3,3,6,3,254,16,50,6,0,13,3,0,0,0,93,0,20,0,0,3,0,0,0,0,28,0,3,0,0,0,0,0,0,0,8,342,675,58,141,186,68,9,35,25,1542
SAL80045,0,3,0,9,3,12,4,8,3,44,4,30,23,12,26,19,3,10,0,126,95,264,45,43,80,26,7,7,15,581,131,308,26,33,58,11,3,4,11,592,63,78,12,11,30,6,0,0,0,209,25,35,3,0,9,5,0,3,6,90,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,718,114,106,204,84,30,34,33,1646
SAL80046,0,3,6,11,3,10,3,9,0,49,19,148,25,70,83,28,0,17,6,399,141,364,63,70,90,29,12,27,13,816,112,163,20,31,53,8,8,19,7,427,92,113,18,11,24,7,0,12,5,284,29,66,8,7,22,6,4,0,5,151,0,8,5,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,405,869,141,212,280,90,27,85,40,2142
SAL80047,5,4,15,25,0,25,0,15,0,91,19,66,25,83,51,29,5,21,0,301,103,236,66,59,59,21,9,56,16,621,175,226,66,39,66,12,7,46,17,649,130,147,35,21,63,15,4,20,12,449,41,67,12,21,30,5,10,13,4,208,6,20,0,6,8,4,0,3,0,54,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,475,782,218,259,289,115,42,173,44,2387
SAL80048,5,3,16,29,4,47,6,16,0,121,8,18,25,29,37,10,3,14,7,153,67,121,32,22,45,11,0,21,0,323,108,154,30,36,55,7,8,11,9,407,124,147,35,25,71,7,5,15,7,437,53,82,16,16,38,6,4,9,0,235,3,24,6,4,9,3,0,0,0,55,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,376,559,162,159,261,98,32,73,26,1745
SAL80049,0,5,31,63,21,85,0,42,6,251,16,29,74,70,52,39,3,26,6,320,103,181,131,95,117,33,9,35,12,719,200,338,132,108,185,41,20,48,24,1092,197,240,107,96,194,38,39,46,19,984,78,94,51,59,125,18,33,42,12,504,6,22,6,6,30,3,0,7,0,87,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,607,916,533,497,720,256,120,242,71,3958
SAL80050,0,0,19,46,10,68,3,31,0,184,14,33,52,52,29,32,3,25,4,253,89,211,112,63,95,27,19,37,17,664,161,253,80,37,97,20,5,38,14,708,141,229,63,48,110,21,14,26,13,656,69,83,26,37,75,14,31,18,0,361,18,30,16,11,22,6,11,11,5,128,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,497,849,375,292,443,175,86,191,59,2960
SAL80051,0,4,10,21,7,35,0,18,0,100,7,25,22,23,19,20,0,0,0,118,44,62,21,12,35,11,7,6,0,204,110,153,33,23,51,12,7,4,3,389,102,133,23,25,68,5,4,9,4,369,83,105,25,20,48,9,4,6,3,298,17,36,0,12,21,10,0,3,4,100,0,6,5,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,366,518,132,138,258,97,29,48,14,1602
SAL80052,0,3,9,37,10,29,4,23,0,114,9,26,23,32,30,15,3,16,5,162,40,103,41,38,36,11,9,14,14,308,124,147,27,28,40,5,3,16,6,397,142,154,29,31,58,9,0,6,12,440,76,105,19,17,45,9,5,6,3,290,15,29,4,0,10,0,3,0,0,64,0,6,0,0,5,0,0,0,0,11,0,5,0,0,0,0,0,0,0,5,402,577,161,177,238,85,28,80,43,1801
SAL80053,0,8,13,28,4,35,0,8,0,96,5,13,19,25,11,5,4,7,0,90,50,116,43,30,50,11,7,10,10,324,95,165,27,37,43,4,17,3,10,410,107,135,32,31,62,6,11,11,8,397,36,60,22,17,36,3,13,7,0,186,12,21,3,6,10,5,7,0,0,60,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,305,520,157,176,227,78,43,47,32,1573
SAL80054,0,3,15,28,11,40,0,15,0,112,12,38,49,61,38,41,12,11,0,258,73,175,70,61,71,28,14,45,15,557,100,203,51,43,83,10,15,30,18,559,92,129,28,55,80,9,14,21,11,440,61,105,28,34,100,14,25,32,6,405,5,20,4,6,12,6,3,7,0,80,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,348,677,257,279,392,152,89,164,58,2407
