SAL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,11
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,0,0,7,0,0,0,30,24,53
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,16,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,10,0,0,0,17,19,43
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,0,3,3,0,0,0,19,17,37
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,39,40,80,0,0,0,4,4,16,7,11,11,91,164,252,7,12,23,0,0,0,5,0,4,51,46,102,3,6,5,104,184,289,307,476,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,3,3,0,10,10,10,7,20,14,16,30,0,0,0,0,0,5,3,0,0,5,4,7,88,91,185,122,228,355,6,0,5,546,821,1361
SAL80018,0,0,0,41,35,83,0,0,0,0,5,5,4,7,5,630,630,1262,36,91,129,10,0,10,22,3,30,144,102,246,12,5,13,67,87,152,961,967,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,6,0,0,0,3,11,15,14,13,28,19,22,43,0,0,0,4,0,8,0,0,0,6,0,7,178,220,395,101,193,297,0,0,0,1267,1413,2674
SAL80019,0,0,0,9,28,40,0,0,0,20,17,42,0,0,0,1190,1046,2236,66,105,171,19,0,19,20,5,26,22,6,26,0,0,3,11,23,37,1367,1228,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34,0,6,3,0,3,0,0,0,0,23,20,47,34,27,56,58,45,103,0,0,0,4,7,10,5,0,5,7,7,9,188,210,399,99,192,288,6,4,7,1719,1682,3401
SAL80020,0,0,0,45,37,85,0,0,0,0,0,0,4,0,4,352,344,697,22,39,62,7,0,7,13,3,11,38,19,65,3,0,3,18,14,29,496,459,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,4,4,3,5,13,11,6,14,0,0,0,0,0,0,0,0,0,0,0,0,93,100,194,48,90,136,0,0,0,649,655,1307
SAL80021,0,5,5,28,52,77,0,0,0,0,0,0,0,0,5,1133,980,2118,53,76,135,23,0,20,17,3,20,4,0,10,4,0,10,4,9,13,1276,1131,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,12,0,3,0,0,0,0,3,9,20,15,4,19,18,18,41,0,0,0,0,0,0,0,0,0,0,0,0,86,131,213,132,183,314,8,5,13,1520,1463,2986
SAL80022,0,0,0,35,37,77,0,0,0,0,0,0,4,5,8,239,216,455,12,32,44,0,0,0,13,0,16,35,13,46,11,6,16,149,170,323,497,486,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,3,6,3,3,5,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,77,70,152,38,51,89,3,0,3,625,614,1239
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL80024,8,0,8,332,443,768,0,0,0,0,0,3,6,11,17,1492,1027,2522,98,184,278,4,0,4,22,0,26,37,18,58,19,14,35,275,293,568,2286,1993,4283,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,5,0,0,0,3,4,13,15,8,25,0,40,41,0,5,5,25,54,86,36,26,64,71,83,154,0,0,0,5,6,11,3,0,3,9,6,20,233,233,465,171,262,434,4,12,14,2775,2589,5364
SAL80025,7,6,17,14,37,53,0,0,0,13,17,32,4,3,8,1423,1179,2605,61,133,194,19,0,21,22,0,27,7,0,7,13,9,19,3,3,10,1603,1393,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,56,0,0,4,4,5,7,0,0,0,28,33,64,48,40,90,83,78,156,0,0,0,10,4,11,0,0,0,10,4,11,216,237,453,110,183,296,10,5,14,2028,1900,3923
SAL80026,0,0,0,33,28,61,0,0,0,0,0,0,0,0,0,681,661,1339,42,81,117,10,0,10,9,0,9,17,6,15,5,0,3,32,31,69,823,804,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5,0,0,0,4,12,15,5,7,9,14,17,28,0,0,0,0,0,0,0,0,0,6,0,6,96,97,192,90,133,228,0,0,6,1025,1052,2076
SAL80027,0,0,0,133,161,294,0,0,0,51,68,116,13,17,29,876,781,1667,65,106,169,0,0,6,26,7,29,139,111,253,24,9,32,521,522,1047,1857,1780,3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,34,84,0,0,4,3,5,4,0,4,10,57,45,102,34,19,48,85,70,152,0,0,0,0,5,8,0,0,4,9,5,12,260,277,537,139,237,373,0,7,6,2355,2365,4717
SAL80028,0,0,0,192,256,444,4,0,4,0,0,3,0,12,12,1323,1247,2563,62,157,224,4,0,4,22,0,31,77,30,102,7,11,18,103,99,200,1803,1802,3609,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,6,11,21,9,11,18,0,27,27,3,0,3,20,56,68,18,19,44,40,76,114,0,0,0,4,5,10,0,0,0,4,6,9,213,207,422,189,333,522,15,6,21,2261,2434,4694
SAL80029,0,0,0,42,57,93,0,0,0,0,0,0,0,6,4,1159,1018,2178,49,95,146,16,0,16,20,0,19,7,0,11,4,5,12,8,7,17,1311,1182,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,3,6,8,0,0,0,7,10,15,13,8,18,22,21,37,0,0,0,0,0,3,0,0,0,0,0,3,112,161,270,124,234,360,0,4,8,1574,1594,3172
SAL80030,0,0,0,68,73,144,0,0,0,0,0,0,3,8,11,718,673,1387,44,92,134,0,0,0,22,0,25,120,76,198,70,21,92,929,378,1303,1980,1315,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,7,0,0,3,5,7,6,21,11,38,23,22,44,0,0,0,3,0,3,0,0,0,4,0,4,232,225,457,134,187,320,3,4,9,2382,1744,4127
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,42,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,29,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,0,0,0,35,32,63
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,8,6,6,6,19,29,0,0,0,9,9,21,3,0,3,1434,1179,2610,52,125,177,12,0,12,25,0,20,15,3,14,12,6,16,7,14,26,1587,1356,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,33,4,4,8,0,4,9,0,0,0,14,30,48,31,29,63,43,59,103,0,0,0,0,8,8,0,0,0,0,13,13,140,201,343,122,237,356,7,3,15,1900,1872,3772
SAL80034,0,0,0,14,9,23,0,0,0,0,0,0,0,0,3,443,414,853,22,41,71,7,0,7,4,0,4,16,0,23,0,0,0,7,0,12,514,477,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,3,5,8,5,3,7,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,120,107,233,49,103,154,0,0,0,691,701,1393
SAL80035,0,0,0,12,30,45,0,0,0,0,0,0,0,0,0,572,477,1044,30,38,72,7,0,7,9,4,14,4,0,5,0,0,0,6,9,10,647,555,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,3,3,4,0,0,0,6,10,8,13,14,22,17,16,36,0,0,0,0,0,0,0,0,0,0,0,0,48,73,121,55,88,146,0,3,7,773,741,1514
SAL80036,0,0,0,40,35,76,0,0,0,0,0,0,7,0,5,470,383,855,25,84,102,7,0,7,14,4,15,13,9,22,4,0,9,31,26,59,609,544,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,5,0,0,0,3,9,8,10,9,17,9,17,23,0,0,0,0,3,3,0,0,0,0,3,3,73,101,174,53,94,145,0,0,6,753,757,1504
SAL80037,0,0,0,27,34,63,0,0,0,0,0,0,0,5,5,1016,881,1897,58,90,145,17,0,17,28,0,28,9,3,16,13,4,16,6,4,6,1165,1022,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,8,10,14,6,26,18,17,35,0,0,0,0,0,0,0,0,0,0,0,0,99,126,229,106,192,301,0,3,3,1396,1360,2753
SAL80038,0,0,0,115,162,277,0,0,0,16,13,30,11,18,23,466,331,795,30,48,80,0,0,0,19,3,18,59,25,79,20,10,24,431,437,866,1158,1046,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,4,4,7,0,9,13,0,5,5,7,14,25,12,12,25,18,30,48,0,0,0,4,5,7,0,0,4,8,10,9,179,178,357,120,177,301,5,3,9,1490,1439,2925
SAL80039,0,0,0,36,25,57,0,0,0,0,0,0,0,0,0,1063,924,1985,71,102,174,11,0,11,21,0,19,7,0,6,5,3,9,10,9,14,1221,1066,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,14,0,9,7,0,0,0,9,12,19,6,11,20,22,19,42,0,0,0,0,0,0,0,0,0,0,0,0,92,155,254,123,188,309,3,0,3,1452,1430,2887
SAL80040,0,0,0,37,65,104,0,0,0,0,0,0,0,0,0,376,414,789,17,46,69,6,0,6,11,0,18,74,32,107,0,0,0,11,17,27,539,578,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,0,0,5,0,6,6,10,10,10,8,18,0,0,0,0,0,0,0,0,0,0,0,0,96,116,206,70,107,180,0,0,0,715,809,1530
SAL80041,0,0,0,69,72,141,0,0,0,0,0,0,0,4,4,1057,885,1947,27,122,155,15,3,18,24,4,27,21,3,21,6,3,10,6,20,23,1227,1114,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,16,0,11,12,0,0,0,13,19,29,8,3,15,16,22,42,0,0,0,0,4,0,0,0,0,0,4,0,130,141,274,101,154,253,0,4,3,1478,1433,2913
SAL80042,0,0,4,23,17,37,0,0,0,4,10,16,0,3,3,970,815,1783,46,104,149,8,0,7,20,0,20,25,8,31,6,4,3,7,12,18,1105,965,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,28,4,0,3,0,3,4,0,0,0,13,21,35,22,28,42,29,51,87,0,0,0,0,0,0,0,0,0,3,0,3,157,153,310,81,150,232,7,4,11,1381,1325,2707
SAL80043,0,0,0,61,70,129,0,0,0,0,0,0,0,7,3,873,788,1657,60,111,166,9,0,9,17,0,22,58,20,70,9,0,9,30,45,72,1106,1045,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,4,4,0,0,0,8,0,11,15,9,16,22,16,36,0,0,0,0,3,3,0,0,0,0,3,3,172,159,333,113,199,304,8,7,13,1421,1422,2839
SAL80044,0,0,0,20,25,39,0,0,0,0,0,0,3,6,5,443,434,880,41,57,98,3,0,3,8,0,9,26,12,41,0,3,7,23,28,53,568,564,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,3,4,8,4,4,12,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,114,122,231,66,88,150,0,3,0,762,778,1542
SAL80045,0,0,0,30,34,63,0,0,0,0,0,0,0,0,0,611,489,1101,21,64,82,0,0,0,9,0,9,5,0,9,5,0,3,4,3,10,681,603,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,0,0,0,0,0,0,7,5,12,11,6,14,17,9,27,0,0,0,0,0,0,0,0,0,0,0,0,99,111,207,46,77,126,0,3,4,842,806,1646
SAL80046,0,0,0,29,25,58,0,0,0,59,80,140,0,9,6,470,457,926,34,70,107,4,0,4,10,0,18,108,74,178,12,4,14,53,56,114,783,779,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,75,0,0,0,3,0,3,0,0,0,37,42,80,25,12,33,64,56,116,0,0,0,3,3,8,0,0,0,3,5,4,118,136,254,74,129,206,0,5,5,1036,1101,2142
SAL80047,0,0,0,20,26,42,0,0,0,45,61,109,0,5,8,647,563,1214,33,73,109,5,0,5,21,5,23,107,59,169,7,4,8,18,16,39,905,826,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,45,0,0,0,0,3,3,0,0,0,24,29,47,19,16,35,46,43,88,0,0,0,6,6,17,0,0,0,12,9,19,121,165,280,98,168,263,8,0,10,1185,1201,2387
