SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SAL80012,0,0,0,4,0,3,0,7,0,19,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,4,3,6,5,16,0,12,0,53
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,5,0,0,0,11,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,6,7,3,3,0,43
SAL80015,3,3,0,0,3,0,0,3,0,10,0,4,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,9,5,0,3,0,37
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,8,0,4,4,4,0,0,0,23,10,249,27,0,8,15,4,7,5,326,3,18,3,0,0,0,0,0,0,25,65,349,79,8,6,0,0,0,0,502,14,91,33,0,8,0,0,0,0,151,31,149,41,0,6,0,0,0,0,232,5,5,9,0,0,0,0,0,0,15,6,40,15,0,0,0,0,0,0,65,0,3,3,0,0,0,0,0,6,14,143,914,213,23,31,19,6,9,7,1361
SAL80018,51,19,37,31,99,152,78,150,0,610,46,118,102,86,243,253,79,124,6,1063,6,11,22,10,29,36,9,26,0,148,10,101,48,16,33,18,3,4,0,240,7,56,34,26,98,66,6,10,0,300,6,74,23,16,8,10,4,10,0,146,0,13,5,0,5,4,0,0,0,30,0,27,22,8,16,15,0,3,0,91,3,5,0,4,4,15,3,6,5,54,134,415,300,195,538,552,191,329,19,2674
SAL80019,20,24,24,36,136,202,67,105,0,626,40,54,82,59,255,276,47,93,6,913,12,32,29,20,82,116,33,48,9,377,11,81,66,39,76,54,21,22,4,368,19,33,61,51,201,136,30,36,5,563,14,86,42,23,36,25,4,6,0,237,0,14,12,7,20,17,3,18,4,100,7,43,24,16,21,14,9,20,0,161,4,3,0,4,15,15,3,4,9,61,133,365,349,257,839,848,220,354,40,3401
SAL80020,11,4,23,26,41,81,28,74,0,294,18,57,50,45,111,126,40,73,0,526,0,11,7,10,18,22,11,6,0,82,9,33,16,12,19,12,3,3,0,103,6,13,21,11,33,26,3,15,0,124,3,35,10,10,3,4,0,9,0,68,0,0,3,0,0,0,0,0,0,6,8,18,12,0,9,12,0,9,0,69,0,0,0,0,7,8,0,0,5,27,57,176,144,106,253,292,92,184,4,1307
SAL80021,18,9,8,18,112,122,47,66,0,407,25,32,36,41,167,146,49,46,8,555,16,22,24,25,118,145,40,55,5,451,19,66,57,43,63,36,24,22,0,320,36,32,53,51,232,122,33,24,5,595,13,74,37,17,44,17,6,9,0,231,8,19,8,5,31,32,19,47,0,167,4,51,30,7,40,38,6,10,0,187,0,5,4,0,15,21,0,9,7,72,143,302,263,212,823,683,233,291,34,2986
SAL80022,19,6,6,11,54,87,37,87,0,306,31,35,12,21,156,190,60,68,5,576,0,0,0,0,9,9,5,3,0,35,5,15,4,3,11,42,0,6,0,87,3,16,11,5,50,42,7,16,0,149,5,7,0,6,3,0,3,9,0,36,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,14,0,0,0,6,12,4,6,11,0,36,61,86,44,57,297,372,115,201,6,1239
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL80024,24,25,39,26,212,159,58,72,6,629,51,115,106,103,651,476,86,119,14,1719,16,48,58,14,166,112,33,29,8,488,40,150,176,84,151,104,44,38,6,788,23,62,74,30,302,135,20,34,0,688,21,123,128,45,121,28,17,11,10,498,11,24,24,6,24,25,9,12,5,141,11,61,87,27,48,41,9,19,3,309,0,7,9,4,31,18,5,14,22,106,188,614,704,346,1702,1104,276,349,69,5364
SAL80025,20,19,21,32,156,150,58,88,6,551,30,50,69,66,388,343,60,99,13,1119,4,25,49,32,109,134,21,40,8,417,18,74,75,71,125,54,28,30,8,492,29,41,63,47,251,109,27,22,8,592,17,98,51,18,61,24,5,9,0,282,0,14,18,11,26,23,10,21,5,122,11,64,38,14,52,36,11,18,5,247,8,11,9,11,20,23,0,5,27,114,135,388,386,301,1178,908,222,323,78,3923
SAL80026,17,8,19,11,94,96,32,41,0,312,19,41,47,35,164,158,28,41,0,539,5,13,14,16,52,87,21,30,3,247,6,37,37,24,48,26,9,12,9,202,24,34,41,40,152,89,20,25,5,418,5,53,28,12,13,13,0,8,0,145,6,7,8,10,12,7,0,11,0,56,7,31,14,9,19,16,5,5,0,110,7,3,3,3,21,9,0,7,3,56,95,235,202,150,575,511,109,172,21,2076
SAL80027,40,32,37,30,226,294,104,195,0,971,56,126,95,91,776,627,152,216,4,2136,11,15,28,10,60,56,17,27,0,221,15,89,75,15,73,69,16,19,0,383,27,65,53,38,247,129,20,40,0,625,8,37,39,8,32,17,8,8,6,165,0,3,5,0,10,6,3,3,0,33,7,17,30,5,14,16,4,6,0,90,0,4,0,0,29,24,8,9,13,88,164,394,362,200,1467,1240,328,526,32,4717
SAL80028,31,27,34,17,176,192,65,96,0,637,46,148,104,88,505,406,98,141,9,1548,5,37,30,22,99,97,11,28,7,342,50,253,142,47,95,57,14,35,13,701,21,72,69,47,227,113,23,18,3,593,23,186,98,36,49,29,3,11,4,445,3,16,14,5,9,11,3,8,0,73,4,81,72,15,28,26,3,13,10,251,5,9,4,4,28,16,0,9,32,103,186,827,573,281,1217,942,227,355,85,4694
SAL80029,27,15,21,28,115,138,58,81,0,488,34,46,72,59,199,191,59,56,5,726,17,19,29,24,118,142,29,57,0,442,19,77,60,39,63,35,25,30,6,346,33,39,70,48,217,139,20,36,5,603,9,77,36,21,36,27,3,7,0,221,6,11,7,3,21,19,13,24,4,108,6,46,27,12,26,29,8,8,8,175,4,10,5,3,20,8,0,11,6,74,155,345,335,229,812,729,215,321,33,3172
SAL80030,36,44,67,66,150,483,301,565,14,1729,43,96,98,70,274,336,84,185,0,1195,3,11,14,3,37,34,8,17,0,126,20,89,43,19,33,86,21,72,10,392,18,39,34,25,99,80,27,30,0,357,6,66,20,7,14,17,0,9,0,136,0,5,0,4,4,4,3,3,0,24,8,18,15,11,4,12,3,8,0,71,5,7,0,3,15,31,6,25,8,89,141,386,299,198,629,1076,453,902,36,4127
SAL80031,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,8,3,0,0,19,0,0,0,0,0,0,0,5,0,5,0,0,0,3,5,0,0,0,0,13,0,0,0,0,3,5,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,4,16,18,4,9,0,63
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,35,10,29,24,174,212,75,102,3,661,49,51,69,52,347,321,65,83,0,1032,12,23,29,26,104,125,31,49,5,409,15,86,70,31,106,52,10,31,3,410,29,44,59,45,268,141,37,29,5,650,9,76,33,19,53,25,5,8,4,240,5,14,13,8,20,29,4,23,3,113,6,55,37,7,31,27,0,9,0,166,3,3,11,3,25,21,4,3,9,90,168,352,346,222,1126,953,233,326,44,3772
SAL80034,10,12,25,16,52,83,40,77,0,315,23,42,55,47,104,130,35,76,0,509,8,10,5,9,15,30,3,10,0,98,8,57,14,8,11,7,8,3,0,119,11,23,20,15,52,42,8,7,0,181,0,43,4,9,12,0,7,9,0,82,0,10,0,0,0,3,0,3,0,20,3,21,0,3,4,4,0,0,0,40,3,9,6,5,9,8,0,0,4,33,69,222,132,107,258,306,100,194,3,1393
SAL80035,0,4,7,7,61,53,15,21,8,181,15,20,19,22,81,87,15,31,8,293,15,22,8,15,64,75,29,26,6,254,11,49,33,17,60,20,11,16,4,218,16,22,27,16,106,46,6,6,6,255,5,26,14,6,18,15,3,0,0,97,4,10,8,4,11,20,3,10,0,76,4,29,15,8,26,18,6,9,0,114,6,4,0,0,6,5,0,0,8,34,82,181,140,103,432,334,91,123,28,1514
SAL80036,21,5,16,19,43,69,36,53,0,268,17,40,34,36,140,149,25,43,5,489,3,15,8,8,35,36,12,15,0,138,11,34,24,10,35,17,5,24,4,161,9,21,14,9,64,44,8,12,0,181,3,36,18,10,14,13,9,3,0,98,0,6,3,7,4,0,0,4,0,32,0,22,29,10,27,16,3,9,0,121,0,0,0,0,0,7,0,6,9,28,64,176,145,110,371,364,83,165,18,1504
SAL80037,14,11,23,29,101,114,35,65,0,393,29,39,57,51,155,152,43,42,0,566,17,16,34,23,85,137,36,52,5,409,17,66,42,39,55,40,11,15,3,299,26,44,48,34,192,105,11,24,4,488,7,58,31,10,36,24,10,15,0,191,5,3,13,11,22,38,18,24,4,139,3,49,28,14,38,46,9,12,0,191,4,8,4,5,27,17,8,4,9,81,125,298,274,212,702,668,180,271,28,2753
SAL80038,28,19,24,15,112,149,66,103,0,513,32,139,81,42,351,356,70,126,5,1207,8,17,7,7,38,31,8,15,0,124,36,168,51,13,42,21,5,6,7,348,15,64,38,14,113,66,17,17,0,347,18,109,43,10,17,6,0,6,0,216,0,3,4,4,6,5,0,0,0,17,11,34,14,9,8,5,0,0,0,85,0,3,0,5,22,14,0,10,15,66,145,547,271,112,711,647,171,282,34,2925
SAL80039,25,18,18,18,103,148,37,85,0,443,38,41,39,48,195,167,37,57,3,621,24,15,15,22,92,135,44,37,9,378,15,77,51,34,57,55,18,17,3,322,32,38,50,49,243,114,28,36,3,588,11,87,35,12,26,21,4,12,0,214,10,15,3,6,13,29,3,22,4,106,4,50,29,10,24,22,11,8,0,157,0,8,6,5,20,16,3,0,3,56,156,335,239,197,783,702,188,264,26,2887
SAL80040,21,9,22,22,74,86,36,44,0,322,31,64,64,48,163,132,44,49,0,604,4,14,7,14,18,27,12,7,0,108,13,47,16,12,20,16,3,7,0,136,7,18,27,13,56,41,9,10,0,176,4,34,12,4,8,0,0,9,0,73,0,0,7,3,0,3,0,4,0,15,0,15,11,3,12,11,3,10,0,67,0,3,0,0,3,7,0,5,4,26,81,216,165,127,364,320,107,145,9,1530
SAL80041,16,12,17,24,136,134,34,81,3,466,45,39,75,77,363,317,78,71,6,1061,4,17,24,19,73,63,15,31,0,249,17,72,51,41,78,31,13,24,3,328,13,26,31,29,190,70,17,20,3,391,5,49,31,13,27,21,11,7,0,162,0,6,6,4,15,16,8,9,0,57,3,43,30,9,19,18,4,5,3,132,4,5,9,3,17,15,4,0,9,59,110,267,262,216,918,682,178,255,38,2913
SAL80042,22,19,39,34,135,159,55,99,3,561,35,45,52,44,275,276,59,85,4,876,9,4,18,18,61,72,21,29,3,239,7,62,47,28,59,57,11,26,0,301,19,28,29,27,181,73,15,28,4,415,11,49,21,9,24,7,8,9,0,134,0,6,4,4,6,7,5,5,0,41,5,28,15,5,16,16,3,3,0,85,0,3,4,0,11,17,0,4,11,52,113,233,239,171,766,683,174,286,29,2707
SAL80043,30,24,35,43,85,165,62,164,0,612,59,94,118,80,228,269,77,161,3,1095,11,21,13,11,45,47,10,23,3,195,5,80,45,31,37,29,11,17,4,246,18,38,33,31,110,54,19,16,0,331,8,63,20,6,13,10,0,13,0,132,3,10,11,0,9,9,0,4,0,41,7,33,30,8,15,19,3,0,3,125,3,7,4,0,19,10,0,11,12,62,149,368,303,213,563,615,195,413,21,2839
SAL80044,20,12,21,15,61,75,40,102,0,342,20,64,69,35,119,161,47,154,9,675,4,4,9,6,8,14,3,13,0,58,10,38,27,7,15,23,8,4,0,141,5,28,32,17,41,41,9,15,4,186,11,30,10,5,3,7,0,0,4,68,0,0,5,0,0,0,0,0,0,9,0,12,0,0,0,11,0,0,0,35,0,0,5,0,3,4,0,6,0,25,66,192,173,88,260,345,111,293,12,1542
SAL80045,14,11,10,15,91,100,34,47,3,320,31,13,29,44,238,264,44,56,0,718,4,4,5,3,31,43,13,11,0,114,10,20,18,9,30,12,0,3,5,106,15,14,16,14,91,43,7,7,0,204,0,22,7,7,17,14,7,8,0,84,0,6,3,0,0,8,0,3,0,30,0,8,7,0,6,0,0,0,0,34,0,4,0,0,12,12,4,3,0,33,64,94,101,100,512,490,115,153,11,1646
SAL80046,26,9,15,26,87,132,58,54,0,405,31,85,64,58,292,198,60,86,0,869,8,18,15,4,39,31,5,16,0,141,10,68,46,13,31,29,8,15,8,212,11,33,36,16,108,57,13,6,0,280,4,32,22,9,11,10,5,6,0,90,0,10,3,4,5,4,0,0,0,27,5,23,19,5,8,9,0,10,3,85,0,0,7,5,14,11,4,0,3,40,90,272,233,134,587,474,153,186,13,2142
SAL80047,24,22,41,38,90,132,47,80,4,475,23,63,84,79,223,188,53,69,0,782,9,28,17,18,45,65,15,25,0,218,15,76,48,28,28,27,7,16,5,259,12,22,46,24,82,69,21,15,0,289,6,46,19,7,17,8,6,5,0,115,6,5,0,4,6,8,6,6,0,42,4,54,43,7,33,21,5,5,3,173,0,3,0,3,11,9,0,5,10,44,106,323,298,204,533,527,143,226,27,2387
SAL80048,23,11,23,19,86,102,37,68,0,376,35,43,41,36,150,136,46,70,0,559,10,16,8,3,45,51,15,18,5,162,12,48,25,15,29,18,3,12,0,159,14,33,31,30,90,47,11,4,6,261,8,42,11,9,15,12,0,6,0,98,5,5,0,7,0,9,0,3,0,32,0,18,19,3,8,10,0,4,0,73,0,5,4,0,3,7,3,6,5,26,102,222,161,118,423,394,114,193,9,1745
SAL80049,30,9,24,30,154,204,53,99,6,607,49,63,82,57,280,254,44,78,0,916,12,39,26,27,137,169,47,65,5,533,30,100,88,47,100,60,23,41,4,497,35,46,88,44,273,170,25,34,0,720,7,100,45,11,39,21,13,4,0,256,4,6,15,3,17,21,17,25,0,120,17,61,32,22,49,32,5,15,8,242,0,11,4,3,24,4,9,9,10,71,191,430,404,258,1077,937,239,378,43,3958
SAL80050,22,32,27,27,123,127,50,91,0,497,49,57,95,89,202,220,43,83,5,849,12,27,21,12,95,124,23,42,0,375,14,90,48,31,50,32,12,18,0,292,23,37,50,31,160,89,25,23,0,443,8,76,30,9,28,19,3,8,0,175,3,15,9,3,13,15,10,15,0,86,10,64,32,17,28,32,4,12,0,191,0,5,5,0,16,18,5,0,15,59,141,400,316,223,719,678,176,287,25,2960
SAL80051,22,11,21,11,74,113,39,73,4,366,17,64,40,36,119,139,32,67,0,518,3,18,11,9,35,25,15,15,0,132,6,36,22,19,20,17,7,10,0,138,14,25,27,21,76,61,10,9,4,258,0,41,14,0,12,8,4,6,0,97,0,5,0,3,0,6,0,4,0,29,3,16,3,4,4,11,0,0,0,48,0,4,0,0,5,3,0,0,4,14,75,224,153,113,351,386,110,189,17,1602
SAL80052,15,14,22,22,73,108,42,111,0,402,8,56,52,51,134,135,45,89,3,577,0,19,12,11,43,51,14,14,3,161,10,57,38,13,28,19,5,13,0,177,9,27,28,17,74,51,20,16,0,238,6,41,13,0,9,11,3,0,0,85,0,8,9,0,4,4,5,4,0,28,5,38,12,6,7,7,0,3,4,80,4,8,4,4,9,0,8,7,7,43,56,260,189,126,380,386,135,252,25,1801
SAL80053,20,7,12,16,66,85,30,63,0,305,39,38,40,48,129,123,40,54,9,520,12,13,15,13,41,40,16,13,0,157,11,42,25,21,31,25,6,9,0,176,9,14,41,19,83,50,8,3,0,227,3,33,10,4,9,8,3,4,0,78,4,8,0,3,9,13,9,3,0,43,0,13,4,0,6,8,0,0,4,47,0,0,6,0,10,8,0,0,9,32,92,180,160,129,373,361,110,158,15,1573
SAL80054,8,7,16,18,111,96,33,61,3,348,22,65,64,58,191,167,40,62,4,677,7,14,19,13,62,87,25,26,0,257,14,73,51,31,51,28,8,18,3,279,17,38,42,35,136,87,14,11,0,392,8,57,26,8,29,14,4,0,0,152,0,7,5,0,20,17,13,8,4,89,3,39,31,21,31,21,3,5,3,164,0,3,8,4,15,9,0,5,14,58,84,324,271,194,653,527,143,194,27,2407
SAL80055,10,7,18,26,64,75,31,59,0,297,36,42,44,37,143,122,43,46,9,519,0,22,16,16,72,80,32,40,0,268,16,42,35,18,31,35,7,13,4,203,23,24,33,23,103,51,16,20,4,285,8,38,31,6,20,15,0,3,0,132,0,4,3,0,5,14,4,9,4,50,8,32,8,8,19,23,8,9,3,104,0,6,0,0,0,8,3,8,0,27,99,210,183,137,465,418,147,206,21,1888
SAL80056,16,23,23,34,133,164,67,109,5,561,24,43,47,64,215,285,54,91,7,835,8,16,5,10,49,63,9,21,0,185,11,68,39,14,37,38,14,16,0,235,18,29,32,32,130,85,21,20,3,371,8,63,30,6,23,28,7,7,0,162,0,5,3,0,7,14,4,0,0,37,0,35,13,7,21,13,0,5,0,89,0,6,5,0,7,20,3,0,9,49,73,286,200,166,620,700,180,276,21,2524
SAL80057,8,13,12,17,42,82,36,86,3,285,16,44,27,22,94,119,44,93,0,456,0,0,5,0,6,6,0,8,0,30,0,22,8,3,6,3,0,4,0,45,10,19,15,11,32,38,8,13,0,133,3,18,4,3,11,15,5,9,0,63,0,3,3,0,0,0,0,0,0,9,3,4,0,0,3,7,0,0,0,17,0,0,3,4,3,13,0,7,3,26,36,128,74,64,193,270,87,217,7,1074
