SAL_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,0,5,0,4,5,0,0,11
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,8,6,9,24,10,16,12,0,0,76
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,11,13,9,24,6,8,3,0,3,75
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,6,10,14,12,13,0,0,49
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,5,6,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,31,6,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,23,0,0,4,7,0,0,0,0,0,15,0,0,5,4,0,0,0,0,0,6,0,0,6,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,38,0,0,5,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,40,0,0,458,35,0,0,0,0,0,490,5,0,2509,324,7,0,0,0,0,2848
SAL80018,0,0,3,3,0,0,0,0,0,10,0,0,0,7,11,6,0,0,0,19,0,0,0,9,4,0,0,0,0,12,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,8,3,6,6,29,0,4,0,0,0,0,0,0,0,6,0,0,4,6,13,6,0,0,3,29,0,0,0,8,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,12,14,26,20,7,9,0,0,89,0,0,0,11,16,11,10,0,4,57,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,5,0,0,0,7,0,3,9,55,20,9,19,15,19,157,9,20,17,39,18,26,18,11,16,165,261,634,688,1297,736,690,515,311,250,5376
SAL80019,0,3,8,21,5,3,5,0,0,49,0,0,0,3,4,0,0,0,0,11,0,0,13,18,12,17,0,0,0,55,0,0,0,0,3,3,3,3,0,21,0,0,0,0,4,0,0,0,0,11,0,0,0,5,3,6,3,0,0,14,0,0,0,9,5,3,0,0,0,17,0,4,7,11,13,8,0,0,0,43,0,4,0,26,8,14,5,0,0,61,0,0,0,4,0,0,0,0,0,11,0,5,0,7,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,4,3,0,11,4,0,3,0,0,29,0,0,0,14,12,17,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,19,28,59,45,27,19,10,0,214,14,23,24,71,23,11,7,3,0,174,373,1013,886,1742,1062,562,316,139,34,6129
SAL80020,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,3,0,4,0,0,0,0,6,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,18,0,0,0,3,0,5,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,4,7,10,5,8,3,3,0,42,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,11,4,50,11,6,10,4,0,92,4,11,10,16,4,7,15,12,0,84,142,371,308,615,340,339,241,197,62,2605
SAL80021,0,0,0,10,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,3,7,25,15,8,8,0,0,66,0,0,0,3,5,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,0,20,0,0,5,3,0,0,3,0,0,12,0,0,0,3,5,0,3,0,0,9,0,0,0,9,4,8,5,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,4,3,3,11,6,3,0,0,0,21,0,3,0,6,0,10,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,11,39,42,35,14,11,3,161,7,20,7,57,9,9,11,6,0,127,319,764,697,1530,773,591,271,128,29,5100
SAL80022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,4,0,0,9,0,4,0,6,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,9,0,0,5,14,5,8,3,0,0,36,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,0,31,17,7,4,3,3,75,5,16,16,101,36,20,23,10,0,226,54,89,165,815,262,241,233,87,12,1946
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
SAL80024,0,4,3,69,3,8,0,0,0,87,0,0,0,4,5,3,0,0,0,11,3,12,23,129,15,14,6,6,0,208,0,4,0,6,5,0,8,0,0,29,0,0,3,3,0,0,0,0,0,9,0,0,0,8,0,3,3,3,0,29,0,0,3,16,6,0,5,0,0,28,0,0,5,24,4,6,0,0,0,35,0,3,15,35,10,0,5,0,5,65,0,0,5,25,0,0,0,0,0,32,0,3,5,31,7,3,0,0,0,47,0,0,4,8,4,0,0,0,0,13,0,0,10,29,8,0,3,5,0,65,0,4,21,50,11,18,10,6,3,121,0,0,3,3,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,13,0,33,56,245,37,25,20,11,8,428,21,13,64,203,36,20,10,10,11,378,380,360,1556,4421,592,410,324,272,184,8502
