SA3_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
80101,529,2336,103,2965,512,3260,216,3988,1033,7806,471,9309,1279,6336,317,7923,1229,4781,250,6264,930,3667,179,4773,1037,3030,129,4198,566,1709,99,2371,87,577,47,704,7206,33489,1803,42499,613,2092,103,2810,726,3142,192,4061,1260,7436,415,9116,1713,6082,259,8050,1494,4610,191,6294,1057,4030,168,5258,1220,3652,174,5041,571,2033,106,2708,85,793,83,961,8732,33879,1695,44298,1141,4425,207,5775,1237,6404,410,8052,2298,15245,891,18425,2981,12420,574,15972,2727,9387,440,12556,1988,7698,347,10035,2262,6681,297,9242,1135,3740,200,5077,170,1374,133,1667,15937,67369,3495,86802
80103,10,20,17,47,10,53,54,117,13,95,180,288,6,70,147,225,21,87,88,197,14,97,69,183,13,55,27,93,8,28,13,55,0,5,0,9,94,516,601,1209,11,20,9,33,6,28,17,53,5,51,37,94,12,51,28,89,8,56,16,85,11,54,29,93,6,51,20,80,0,29,6,34,0,8,0,8,67,341,153,562,13,38,26,81,17,78,73,171,21,141,219,383,20,119,171,312,31,143,107,281,25,154,94,269,25,105,47,176,13,55,19,85,0,11,0,16,165,859,753,1772
80104,340,2061,98,2496,325,2454,136,2915,664,6934,408,8011,1041,6853,313,8209,960,4509,171,5640,493,2581,101,3174,369,1447,54,1871,150,628,37,818,15,146,4,165,4360,27622,1323,33304,476,1909,74,2460,436,2270,140,2847,865,7038,373,8277,1379,6621,279,8279,1006,4334,163,5502,513,2749,77,3330,393,1791,79,2262,158,773,43,981,12,187,12,205,5235,27673,1234,34143,811,3975,169,4957,761,4723,281,5762,1535,13976,785,16292,2423,13468,590,16485,1962,8847,330,11141,1004,5331,173,6503,764,3243,130,4136,311,1405,80,1797,26,333,14,374,9597,55297,2560,67456
80105,585,1432,238,2262,1084,2741,444,4270,1031,5217,454,6703,740,3199,227,4168,786,2280,153,3219,692,1800,127,2624,594,1135,99,1823,254,582,67,894,49,325,45,421,5822,18715,1850,26387,826,1354,279,2460,1453,2734,391,4570,1328,4909,337,6574,1057,2890,176,4122,968,2258,96,3317,793,1803,78,2671,638,1228,81,1948,293,808,86,1181,53,517,77,648,7394,18493,1593,27478,1408,2784,518,4714,2531,5476,834,8845,2365,10118,793,13276,1795,6089,402,8288,1753,4539,242,6535,1485,3602,213,5293,1231,2364,175,3766,539,1389,146,2080,103,842,120,1069,13216,37208,3446,53862
80106,191,614,35,839,177,662,59,902,420,2011,191,2622,345,1618,139,2104,438,1536,118,2089,444,1348,110,1896,454,989,103,1546,228,525,67,819,26,199,44,268,2725,9498,859,13086,238,530,36,811,211,644,75,934,499,2081,197,2788,490,1714,121,2319,541,1490,117,2150,531,1355,86,1975,513,1081,100,1698,230,642,71,935,46,437,90,574,3299,9973,896,14176,432,1142,72,1649,386,1313,140,1838,923,4096,388,5409,834,3329,253,4417,981,3024,231,4238,977,2702,200,3874,964,2070,200,3241,453,1167,137,1758,74,636,136,842,6027,19470,1762,27253
80107,380,2286,98,2758,261,2403,86,2748,529,5282,248,6057,874,4859,230,5960,961,4518,175,5655,911,4498,149,5562,825,3262,139,4227,308,1323,103,1740,40,384,65,489,5083,28826,1298,35206,414,1965,83,2458,348,2073,84,2503,726,5206,194,6122,1205,4824,212,6241,1098,4795,176,6069,1051,4990,127,6167,933,3557,138,4630,296,1637,147,2075,49,613,127,788,6124,29649,1287,37066,791,4245,180,5213,611,4471,170,5254,1254,10489,446,12184,2075,9683,443,12208,2061,9314,356,11728,1959,9495,275,11734,1759,6816,275,8855,605,2963,249,3815,99,993,193,1281,11211,58477,2583,72279
80108,137,589,24,749,75,484,35,593,172,1049,70,1288,353,1254,67,1669,395,1237,45,1671,314,863,42,1214,304,798,41,1142,187,632,50,871,26,221,34,286,1955,7121,404,9483,150,489,19,655,86,442,21,555,200,1093,53,1346,439,1282,59,1785,463,1272,45,1780,310,1006,49,1368,371,987,59,1418,180,781,66,1032,24,327,45,400,2233,7679,427,10341,289,1072,41,1402,164,928,54,1148,371,2138,123,2632,788,2536,131,3455,859,2508,88,3453,624,1868,90,2587,675,1786,104,2559,372,1415,114,1898,48,551,81,683,4189,14802,830,19823
80109,221,756,37,1015,161,932,56,1144,350,2450,157,2952,440,2153,113,2707,559,1767,106,2429,490,1562,81,2132,446,1048,62,1551,297,804,62,1165,61,415,31,503,3020,11883,704,15604,277,663,29,960,206,925,54,1186,379,2540,137,3054,600,2144,87,2829,679,1836,91,2602,557,1617,60,2230,474,1202,78,1755,360,1143,65,1570,57,608,51,717,3589,12677,635,16911,500,1420,66,1980,371,1857,104,2327,723,4991,293,6008,1040,4299,200,5539,1234,3595,194,5028,1045,3179,140,4363,918,2255,135,3311,664,1950,127,2734,117,1026,78,1221,6613,24566,1337,32513
80110,43,185,8,233,28,301,18,346,134,1164,63,1359,175,1054,33,1261,96,462,19,571,49,213,11,271,26,114,6,150,10,30,7,44,0,7,0,8,557,3526,160,4245,58,170,14,238,69,323,18,410,228,1277,76,1574,226,992,32,1249,91,404,18,517,62,250,10,324,27,124,11,165,6,31,3,39,0,10,0,10,769,3578,179,4524,100,360,18,472,98,624,34,751,364,2436,135,2937,399,2044,65,2511,188,866,37,1088,111,460,22,587,52,236,23,312,13,59,8,84,0,17,0,22,1325,7105,341,8770
80111,3,13,3,18,0,13,0,15,3,38,3,43,9,33,0,47,10,31,4,43,12,17,5,33,3,14,5,24,0,9,0,9,0,0,0,0,44,175,15,238,0,14,5,17,4,12,0,15,3,39,3,43,16,36,3,54,9,23,5,35,17,18,4,43,3,14,5,17,0,0,0,7,0,5,0,5,58,159,18,234,5,26,3,36,6,25,4,39,7,72,7,90,27,73,3,102,20,61,9,85,28,41,11,75,8,26,5,40,0,10,0,11,0,4,0,4,103,330,36,474
