SA3_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
80101,6,8,0,8,0,16,1397,141,48,53,13,11,19,33,14,0,14,350,0,0,0,0,0,0,0,0,0,0,0,1296,192,105,15,17,24,42,25,3,35,1753,0,0,0,0,0,0,0,0,0,0,0,2744,255,138,17,21,29,41,25,6,59,3337,1735,16,15,0,0,0,0,0,0,30,1789,1000,12,26,0,0,0,3,9,0,11,1061,185,31,64,14,12,12,31,12,0,8,370,0,0,0,0,0,0,0,0,0,0,0,1184,48,87,14,14,14,33,19,0,18,1429,4,0,0,0,0,0,0,0,0,3,5,2915,56,96,13,15,14,37,21,0,50,3233,1048,3,3,0,3,0,0,0,0,12,1077,608,4,5,0,0,0,0,0,0,14,636,219,25,18,3,5,3,17,0,0,4,296,0,0,0,0,0,0,0,0,0,0,0,823,31,22,3,4,9,15,0,0,21,932,0,0,0,0,0,0
80103,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,28,3,6,0,0,0,0,0,0,3,41,25,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
80104,3,9,20,12,0,16,1678,167,98,88,16,15,24,77,35,3,14,534,0,0,0,0,0,0,0,0,0,5,7,1493,294,158,29,18,36,95,48,4,37,2218,3,0,0,0,0,0,0,0,0,4,6,2286,365,201,27,25,40,99,51,5,49,3152,623,11,10,0,3,4,0,0,0,3,660,744,51,43,3,4,0,25,13,0,8,903,194,65,111,18,15,19,70,33,4,22,549,4,0,0,0,0,0,0,0,0,0,4,938,123,158,26,20,22,97,41,4,31,1455,0,0,0,0,0,0,0,0,0,0,0,1558,130,171,26,22,27,102,44,4,32,2109,326,3,5,3,3,0,0,0,0,4,339,240,12,10,0,0,0,7,3,0,6,286,108,26,25,4,5,8,21,6,0,3,202,0,0,0,0,0,0,0,0,0,0,0,355,35,36,4,4,8,29,12,0,8,493,0,0,0,0,0,0
80105,3,0,0,3,0,8,511,49,15,20,7,8,7,11,6,0,0,126,0,0,0,0,0,0,0,0,0,0,0,467,48,45,11,9,5,16,11,3,10,633,0,0,0,0,0,0,0,0,0,0,0,1363,78,69,13,15,9,17,11,4,20,1607,731,11,17,0,0,0,0,0,0,8,770,311,7,0,0,0,0,0,4,0,8,337,65,19,12,0,0,3,7,3,0,0,118,0,0,0,0,0,0,0,0,0,0,0,378,28,17,3,4,5,7,6,0,13,454,0,0,0,0,0,0,0,0,0,0,0,1110,34,28,0,4,9,9,8,0,21,1222,444,0,0,0,0,0,0,0,0,12,456,192,0,0,0,0,0,0,0,0,8,206,84,12,5,3,0,0,5,0,0,5,108,3,0,0,0,0,0,0,0,0,0,5,284,13,6,3,0,0,0,0,0,9,319,0,0,0,0,0,0
80106,0,3,10,5,0,0,380,17,5,9,0,0,0,4,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,340,22,22,8,0,3,13,10,0,6,432,0,0,0,0,0,0,0,0,0,0,0,988,49,43,13,4,5,14,21,0,7,1159,677,0,3,6,0,6,0,0,3,9,699,226,3,8,0,0,0,4,0,0,6,252,15,8,14,5,3,5,5,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,242,14,21,5,5,6,5,4,0,6,312,7,0,0,0,0,0,0,0,0,5,13,919,21,21,7,5,4,5,6,3,20,1020,390,4,0,0,0,0,0,0,0,7,398,134,0,3,0,0,0,0,0,0,5,147,22,4,8,6,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,160,4,9,6,0,0,0,0,0,6,184,11,0,0,0,0,0
80107,0,0,0,0,0,18,1258,103,22,27,9,0,7,16,7,0,7,204,0,0,0,0,0,0,0,0,0,0,4,1209,118,57,13,6,11,18,6,6,26,1467,0,0,0,0,0,0,0,0,0,3,3,3042,193,89,14,9,16,19,8,6,60,3447,1660,15,13,4,0,4,0,0,0,20,1713,935,16,13,6,0,4,7,0,0,12,997,140,8,28,9,0,4,10,8,3,0,216,3,0,0,0,0,0,0,0,0,4,3,1077,28,41,17,0,7,19,10,3,18,1219,0,0,0,0,0,0,0,0,0,0,0,2739,45,50,18,0,11,16,10,3,45,2934,872,3,3,0,0,0,0,0,0,27,909,448,8,4,0,4,0,0,0,0,9,472,136,12,7,0,0,3,10,0,0,7,170,0,0,0,0,0,0,0,0,0,0,0,582,20,15,0,3,4,10,0,0,14,642,6,0,0,0,0,0
80108,0,0,0,0,0,5,240,8,5,6,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,196,29,21,0,0,0,4,0,0,5,254,0,0,0,0,0,0,0,0,0,0,0,682,43,26,0,0,0,4,3,0,9,776,467,0,6,0,0,0,0,3,0,3,488,230,6,0,0,0,0,0,0,0,6,245,24,6,9,0,0,0,4,0,0,6,49,3,0,0,0,0,0,0,0,0,0,3,258,13,12,5,3,0,3,4,0,5,304,0,0,0,0,0,0,0,0,0,0,0,727,14,19,5,3,0,3,7,0,15,790,381,0,0,0,0,0,0,0,0,23,404,173,5,0,0,0,0,0,0,0,5,187,52,0,4,0,0,0,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,3,231,4,4,0,0,4,0,0,0,10,257,0,0,0,0,0,0
80109,4,0,6,4,0,3,543,35,9,23,3,4,0,15,8,0,3,96,0,0,0,0,0,0,0,0,0,0,0,499,45,41,3,8,3,21,10,0,8,642,0,0,0,0,0,0,0,0,0,0,0,1223,67,59,6,10,0,21,14,0,19,1419,652,0,5,0,0,0,0,0,0,8,670,403,6,5,0,3,0,3,4,0,3,435,40,9,10,8,8,6,16,12,0,0,102,0,0,0,0,0,0,0,0,0,0,0,441,21,19,9,7,6,18,10,0,3,536,0,0,0,0,0,0,0,0,0,0,0,1094,24,25,9,7,0,18,10,0,15,1207,587,0,6,0,0,0,0,0,0,11,614,320,10,6,0,0,0,6,0,0,12,349,67,12,3,4,0,0,4,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,386,20,7,4,0,0,0,0,0,15,435,4,0,0,0,0,0
80110,0,0,0,0,0,0,158,8,5,14,3,0,6,9,9,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123,18,29,10,5,0,16,12,0,5,211,0,0,0,0,0,0,0,0,0,0,0,207,22,34,5,5,0,16,12,0,6,309,62,0,0,0,0,0,0,0,0,0,63,38,4,5,0,0,0,9,3,0,5,72,4,0,3,3,0,3,8,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,45,9,12,5,0,6,15,8,0,5,101,0,0,0,0,0,0,0,0,0,0,0,106,5,12,5,0,6,15,8,0,6,163,13,0,0,0,0,0,0,0,0,0,12,7,0,4,0,0,0,0,0,0,0,14,6,0,0,0,4,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,4,5,4,3,0,6,32,0,0,0,0,0,0
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
