SAL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,36,6,0,0,0,45,5,0,0,0,0,4,8,3,5,0,0,21,10,0,0,0,0,8,9,5,0,0,0,15,32,7,0,0,0,34,32,4,0,0,0,34,78,22,0,0,0,94,57,11,0,0,0,69,107,12,0,0,0,119,118,8,0,0,0,123,28,0,0,0,0,31,520,78,8,0,0,604
SAL80019,47,4,0,0,0,52,11,0,0,0,0,13,8,0,0,0,0,7,14,3,0,0,0,14,29,0,0,0,0,30,59,13,7,0,0,82,107,29,8,0,0,143,212,42,5,0,0,255,147,13,0,0,0,156,125,10,0,0,0,136,61,0,0,0,0,61,38,4,0,0,0,39,853,119,23,0,0,1002
SAL80020,20,0,0,0,0,22,7,0,0,0,0,7,6,0,0,0,0,4,7,0,0,0,0,7,14,0,0,0,0,14,27,0,0,0,0,24,20,5,4,0,0,29,52,4,0,0,0,50,42,0,0,0,0,44,69,7,0,0,0,75,45,0,0,0,0,45,15,0,0,0,0,17,317,16,7,0,0,342
SAL80021,30,6,0,0,0,38,13,7,0,0,0,13,10,0,0,0,0,10,26,7,0,0,0,36,23,4,0,0,0,31,78,15,4,0,0,104,138,39,10,0,0,189,251,54,3,0,0,315,132,19,0,0,0,154,82,7,3,0,0,89,57,0,0,0,0,60,30,0,0,0,0,28,874,153,27,0,0,1059
SAL80022,0,0,10,0,0,10,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,8,0,0,8,0,0,24,0,0,28,0,0,56,0,0,52,0,4,59,0,0,63,0,0,28,0,0,29,0,0,29,0,0,32,5,0,21,0,0,31,0,0,4,0,0,10,16,11,241,0,0,270
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,0,15,15,0,0,26,0,3,0,0,0,8,0,6,4,0,0,12,0,11,13,0,0,29,0,12,34,0,0,42,0,35,171,0,0,204,0,67,186,0,0,255,0,46,118,0,0,166,0,17,29,0,0,39,0,10,28,0,0,35,0,3,16,0,0,19,0,4,15,0,0,22,0,231,623,0,0,855
SAL80025,32,5,0,0,0,36,4,0,0,0,0,4,9,0,0,0,0,9,8,4,0,0,0,15,19,0,0,0,0,19,69,9,0,0,0,80,151,35,0,0,0,182,256,36,0,0,0,298,234,11,0,0,0,242,168,6,0,0,0,173,85,0,0,0,0,85,58,4,0,0,0,68,1093,105,0,0,0,1198
SAL80026,19,4,0,0,0,20,4,3,4,0,0,11,4,0,0,0,0,4,11,0,4,0,0,21,13,5,0,0,0,24,39,17,9,0,0,71,38,40,16,0,0,97,93,49,21,0,0,152,61,12,5,0,0,78,45,12,0,0,0,60,15,5,0,0,0,18,17,4,0,0,0,28,356,159,57,0,0,573
SAL80027,6,3,15,0,0,19,0,0,0,0,0,0,0,0,5,0,0,7,0,4,14,0,0,15,0,0,17,0,0,18,0,11,110,0,0,123,4,25,210,0,0,243,3,23,218,0,0,241,9,17,61,0,0,89,9,21,45,0,0,76,11,11,23,0,0,47,0,3,18,0,0,20,38,123,743,0,0,909
SAL80028,16,9,10,0,0,33,3,3,6,0,0,10,0,3,0,0,0,4,0,5,10,0,0,11,0,3,18,0,0,25,12,38,71,0,0,127,15,83,55,0,0,157,23,98,25,0,0,152,21,45,14,0,0,75,25,34,7,0,0,67,35,13,4,0,0,50,13,9,7,0,0,16,163,352,220,0,0,731
SAL80029,39,0,0,0,0,42,17,0,0,0,0,19,7,0,0,0,0,10,14,3,0,0,0,17,27,0,0,0,0,28,88,10,12,0,0,111,138,32,4,0,0,174,294,16,8,0,0,320,135,0,0,0,0,139,112,0,0,0,0,118,56,0,3,0,0,60,41,6,3,0,0,50,984,74,25,0,0,1085
SAL80030,26,3,3,0,0,34,3,0,3,0,0,8,0,0,0,0,0,9,0,3,7,0,0,6,9,0,5,0,0,15,20,8,32,0,0,55,20,4,39,0,0,66,25,4,61,0,0,90,31,8,28,0,0,62,75,16,23,0,0,108,83,12,23,0,0,115,12,0,9,0,0,17,300,58,229,0,0,588
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,22,4,0,0,0,25,9,0,0,0,0,9,6,0,0,0,0,6,10,6,0,0,0,11,14,8,0,0,0,20,68,34,0,0,0,102,130,82,3,0,0,224,246,90,0,0,0,335,180,27,0,0,0,200,173,15,0,0,0,195,79,10,0,0,0,90,42,5,4,0,0,51,983,277,8,0,0,1268
SAL80034,32,0,0,0,0,34,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9,20,0,0,0,0,19,27,9,0,0,0,30,68,6,0,0,0,73,66,0,0,0,0,66,79,0,0,0,0,79,78,0,0,0,0,77,10,0,0,0,0,5,384,14,0,0,0,405
SAL80035,8,0,0,0,0,11,4,0,0,0,0,4,7,0,0,0,0,8,13,0,0,0,0,13,17,3,0,0,0,26,52,10,0,0,0,60,118,28,0,0,0,140,135,7,0,0,0,151,50,3,0,0,0,53,33,0,0,0,0,33,15,0,0,0,0,15,11,0,0,0,0,12,470,56,0,0,0,527
SAL80036,12,4,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,15,6,6,0,0,0,15,10,11,5,0,0,36,18,17,5,0,0,38,40,11,5,0,0,60,59,12,0,0,0,72,55,7,0,0,0,62,32,0,6,0,0,34,7,7,0,0,0,14,255,93,20,0,0,363
SAL80037,28,0,0,0,0,28,16,0,0,0,0,16,22,0,0,0,0,22,18,0,0,0,0,18,36,0,0,0,0,36,100,0,0,0,0,101,152,0,0,0,0,151,240,0,0,0,0,238,164,0,0,0,0,164,73,0,0,0,0,73,38,0,0,0,0,38,43,0,0,0,0,43,922,0,5,0,0,927
SAL80038,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,10,0,0,10,0,0,39,0,0,39,0,0,80,0,0,80,0,0,108,0,0,108,0,0,42,0,0,42,0,0,32,0,0,32,0,0,25,0,0,25,0,0,10,0,0,10,0,0,375,0,0,375
SAL80039,29,3,6,0,0,34,7,5,0,0,0,8,12,0,0,0,0,16,15,0,5,0,0,19,23,0,0,0,0,25,61,5,5,0,0,77,122,14,20,0,0,149,235,13,15,0,0,266,151,9,0,0,0,164,103,0,4,0,0,113,47,3,0,0,0,50,36,0,0,0,0,36,844,59,59,0,0,961
SAL80040,24,7,0,0,0,31,9,0,0,0,0,5,8,3,0,0,0,10,4,0,0,0,0,5,7,8,0,0,0,17,17,16,0,0,0,30,29,23,0,0,0,54,47,39,4,0,0,93,53,19,0,0,0,70,49,8,0,0,0,56,33,5,0,0,0,36,6,3,0,0,0,13,290,135,4,0,0,425
SAL80041,17,3,4,0,0,20,3,0,0,0,0,5,3,0,3,0,0,3,6,0,3,0,0,13,3,6,5,0,0,18,19,32,57,0,0,111,54,99,59,0,0,217,97,142,69,0,0,310,78,32,21,0,0,134,111,22,5,0,0,140,75,7,5,0,0,91,14,12,9,0,0,35,482,361,237,0,4,1089
SAL80042,20,0,4,0,0,25,4,0,0,0,0,4,3,5,7,0,0,12,0,0,0,0,0,4,9,5,4,0,0,12,34,15,27,0,0,75,58,17,7,0,0,87,120,35,4,0,0,161,112,18,0,0,0,124,156,10,0,0,0,165,92,3,0,0,0,94,35,0,0,0,0,40,646,107,58,0,0,806
SAL80043,29,0,0,0,0,31,9,0,0,0,0,11,7,0,0,0,0,4,11,0,3,0,0,9,21,0,3,0,0,18,41,0,15,0,0,54,49,0,9,0,0,57,77,3,3,0,0,87,77,8,0,0,0,87,139,3,0,0,0,144,133,0,4,0,0,141,22,3,0,0,0,24,612,22,35,0,0,675
SAL80044,19,0,0,0,0,24,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,4,3,0,0,0,0,5,11,6,0,0,0,18,13,0,10,0,0,22,26,0,3,0,0,33,25,3,3,0,0,31,45,4,6,0,0,50,125,14,0,0,0,137,14,0,0,0,0,16,299,34,24,0,0,348
SAL80045,3,7,0,0,0,8,0,0,0,0,0,3,0,3,3,0,0,0,4,3,3,0,0,7,3,0,13,0,0,17,6,21,44,0,0,72,18,43,46,0,0,106,34,64,53,0,0,151,46,25,14,0,0,89,128,9,3,0,0,141,129,3,0,0,0,134,21,3,6,0,0,28,391,183,188,0,0,762
SAL80046,10,0,4,0,0,15,3,0,0,0,0,3,0,0,0,0,0,3,5,0,7,0,0,13,0,3,9,0,0,15,16,7,55,0,0,69,0,11,81,0,0,95,17,27,52,0,0,97,22,27,22,0,0,73,28,21,14,0,0,61,13,6,4,0,0,27,3,4,3,0,0,13,120,107,245,0,0,475
SAL80047,24,6,0,0,0,24,9,0,5,0,0,13,0,0,0,0,0,0,10,0,5,0,0,13,10,0,5,0,0,17,26,4,26,0,0,60,31,11,32,0,0,76,67,21,13,0,0,102,60,8,3,0,0,76,89,9,3,0,0,100,48,7,0,0,0,55,19,0,3,0,0,24,392,71,102,0,0,562
SAL80048,14,4,0,0,0,21,4,0,0,0,0,5,6,0,0,0,0,6,9,4,0,0,0,11,7,0,0,0,0,6,35,0,5,0,0,42,35,7,3,0,0,47,94,12,4,0,0,108,94,9,0,0,0,100,106,3,0,0,0,108,47,4,0,0,0,51,10,0,0,0,0,15,463,37,16,0,0,521
SAL80049,38,5,0,0,0,42,12,0,0,0,0,17,12,0,0,0,0,8,35,5,0,0,0,37,39,4,0,0,0,44,131,10,10,0,0,150,227,5,7,0,0,244,435,31,0,0,0,466,235,9,0,0,0,244,106,8,0,0,0,107,60,0,0,0,0,63,48,4,0,0,0,56,1375,81,16,0,0,1470
SAL80050,36,0,0,0,0,36,12,0,0,0,0,11,11,0,0,0,0,11,12,0,0,0,0,12,24,0,0,0,0,24,83,4,3,0,0,85,124,4,0,0,0,130,239,8,3,0,0,246,120,0,0,0,0,116,91,0,0,0,0,93,49,0,0,0,0,49,27,0,0,0,0,32,828,19,12,0,0,855
SAL80051,23,0,0,0,0,23,10,0,0,0,0,12,9,0,0,0,0,9,7,0,0,0,0,4,11,0,0,0,0,11,28,0,0,0,0,28,38,0,0,0,0,42,109,0,0,0,0,108,82,0,0,0,0,82,95,0,0,0,0,97,51,0,0,0,0,48,20,0,0,0,0,28,487,6,0,0,0,496
SAL80052,19,0,0,0,0,24,4,0,0,0,0,4,9,0,3,0,0,9,4,6,0,0,0,11,13,4,0,0,0,15,34,8,0,0,0,42,20,11,0,0,0,27,60,10,0,0,0,71,74,6,0,0,0,79,104,6,0,0,0,101,87,3,0,0,0,92,23,0,0,0,0,29,455,41,3,0,0,507
SAL80053,21,0,3,0,0,23,3,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,7,8,0,0,0,0,8,36,8,0,0,0,45,41,0,0,0,0,44,99,0,3,0,0,98,105,0,0,0,0,103,71,4,0,0,0,80,36,0,0,0,0,36,20,0,0,0,0,21,454,20,3,0,0,478
SAL80054,25,5,0,0,0,29,8,0,0,0,0,8,11,4,0,0,0,11,7,3,0,0,0,12,10,6,0,0,0,15,53,18,0,0,0,71,61,33,0,0,0,94,122,24,0,0,0,143,83,3,0,0,0,84,53,0,0,0,0,53,27,0,0,0,0,27,15,3,0,0,0,22,469,97,0,0,0,574
SAL80055,23,0,0,0,0,23,8,0,0,0,0,8,4,0,0,0,0,4,14,0,0,0,0,14,13,0,0,0,0,13,44,3,0,0,0,48,82,0,0,0,0,85,160,9,0,0,0,169,102,0,0,0,0,104,79,6,0,0,0,79,32,0,0,0,0,32,22,0,0,0,0,22,580,16,0,0,0,595
SAL80056,30,6,0,0,0,35,8,0,0,0,0,8,5,0,0,0,0,3,6,0,0,0,0,8,13,0,0,0,0,15,35,10,0,0,0,42,57,17,0,0,0,78,156,32,0,0,0,189,122,9,0,0,0,129,169,3,0,0,0,172,95,0,0,0,0,100,31,0,0,0,0,32,729,87,4,0,0,819
SAL80057,14,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,9,0,0,13,7,0,19,0,0,25,4,6,18,0,0,34,0,5,13,0,0,12,8,8,15,0,0,24,46,6,13,0,0,70,14,0,7,0,0,17,102,37,100,0,0,230
SAL80058,25,4,7,0,0,34,9,0,0,0,0,9,3,0,5,0,0,8,15,0,6,0,0,25,11,6,16,0,0,39,54,16,86,0,0,156,68,41,94,0,0,202,164,42,36,0,0,241,107,7,4,0,0,119,118,10,7,0,0,126,50,8,4,0,0,61,33,9,14,0,0,58,655,145,278,0,0,1078
SAL80059,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,10,14,0,0,0,0,17,31,0,0,0,0,30,37,5,0,0,0,46,99,4,0,0,0,104,62,5,0,0,0,61,42,0,0,0,0,49,10,0,0,0,0,15,9,0,0,0,0,9,333,16,0,0,0,352
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80061,20,0,4,0,0,17,4,0,0,0,0,5,6,0,0,0,0,7,6,0,0,0,0,7,8,0,5,0,0,8,13,3,6,0,0,23,14,9,0,0,0,25,32,18,16,0,0,69,33,12,6,0,0,46,64,8,3,0,0,75,79,6,7,0,0,90,15,0,3,0,0,19,290,70,43,0,0,401
SAL80062,19,0,0,0,0,21,6,0,0,0,0,6,4,0,0,0,0,3,12,0,0,0,0,11,12,0,0,0,0,11,43,0,0,0,0,40,57,3,0,0,0,57,125,5,0,0,0,129,63,0,0,0,0,63,47,0,0,0,0,48,24,0,0,0,0,24,13,0,0,0,0,13,412,17,0,0,0,426
SAL80063,15,0,0,0,0,15,3,0,0,0,0,3,5,0,0,0,0,5,12,3,0,0,0,10,12,0,0,0,0,11,40,0,0,0,0,46,58,3,0,0,0,60,107,10,0,0,0,114,87,0,0,0,0,96,62,0,0,0,0,56,39,0,0,0,0,38,25,0,0,0,0,25,458,22,3,0,0,481
SAL80064,53,15,0,0,0,69,17,0,0,0,0,16,11,9,0,0,0,15,19,20,0,0,0,38,32,16,0,0,0,50,107,56,0,0,0,166,159,118,0,0,0,273,320,75,0,0,0,400,168,18,0,0,0,183,128,6,0,0,0,139,58,6,0,0,0,63,39,19,0,0,0,57,1105,354,3,0,0,1460
SAL80065,25,0,0,0,0,25,14,0,0,0,0,14,10,0,0,0,0,10,10,0,0,0,0,10,20,0,0,0,0,20,45,0,0,0,0,45,43,0,0,0,0,43,150,0,0,0,0,150,113,0,0,0,0,113,60,0,0,0,0,60,28,0,0,0,0,28,14,0,0,0,0,14,534,0,0,0,0,534
SAL80066,4,14,7,0,0,23,0,3,0,0,0,8,0,7,0,0,0,10,0,4,10,0,0,19,0,10,22,0,0,24,0,24,127,0,0,155,0,51,119,0,0,172,0,72,91,0,0,164,0,27,29,0,0,63,0,20,16,0,0,35,0,13,12,0,0,23,0,9,17,0,0,27,6,249,463,0,0,716
SAL80067,24,3,13,0,0,40,6,0,5,0,0,14,0,0,0,0,0,4,5,0,0,0,0,7,4,3,12,0,0,19,16,5,55,0,0,79,16,7,99,0,0,131,24,21,86,0,0,131,19,6,34,0,0,54,44,11,19,0,0,76,147,14,17,0,0,176,11,0,12,0,0,30,323,73,350,0,0,747
SAL80068,19,0,8,0,0,38,0,3,4,0,0,7,0,0,6,0,0,8,10,4,9,0,0,22,5,0,32,0,0,34,38,11,121,0,0,175,50,19,126,0,0,200,120,56,81,0,0,258,77,14,18,0,0,111,57,12,16,0,0,93,29,8,10,0,0,43,24,5,13,0,0,44,443,143,447,0,0,1038
SAL80069,15,0,0,0,0,17,7,0,0,0,0,7,3,0,0,0,0,5,6,3,3,0,0,10,10,0,3,0,0,15,21,5,0,0,0,33,31,3,3,0,0,39,66,9,3,0,0,75,60,3,0,0,0,65,84,11,0,0,0,97,63,5,0,0,0,69,11,0,0,0,0,13,380,44,23,0,0,448
