SAL_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,5,2226,261,48,9,0,0,0,0,2545,0,18,0,0,0,0,0,0,0,19,0,171,0,3,0,0,0,0,0,181,0,71,3,0,0,0,0,0,0,78,0,22,0,0,0,0,0,0,0,28,0,11,0,0,0,0,0,0,0,14,0,15,4,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,323,12,5,8,0,0,0,0,345,0,339,12,8,8,0,0,0,0,361,3,2561,271,56,12,3,0,0,0,2908
SAL80018,859,657,568,655,722,637,476,305,238,5110,0,0,0,0,0,4,0,0,3,11,0,20,5,6,9,16,8,0,0,63,0,5,6,0,0,5,0,0,0,19,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,14,13,10,6,0,7,4,91,0,0,0,0,0,0,0,0,0,0,9,63,28,20,21,26,10,4,4,190,11,66,28,21,23,30,10,10,7,200,866,720,596,676,743,669,485,306,243,5306
SAL80019,1360,875,760,942,1045,533,300,134,31,5979,0,0,0,0,0,0,0,0,0,0,3,4,9,7,0,3,3,0,0,38,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,7,7,6,0,0,3,40,0,0,0,0,0,0,0,0,0,0,14,15,12,11,6,6,5,0,3,85,14,15,15,11,6,13,5,0,3,83,1374,886,776,953,1051,544,308,137,35,6061
SAL80020,497,296,256,333,337,312,220,188,59,2498,3,0,0,4,0,0,0,0,0,3,0,7,5,0,4,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,0,4,5,4,3,0,35,0,0,0,0,0,0,0,0,0,0,3,8,19,4,8,3,5,5,0,56,8,8,19,9,8,3,5,5,0,66,508,304,276,338,340,317,228,192,58,2560
SAL80021,1063,662,725,756,756,569,261,125,30,4945,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,11,6,3,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,14,19,16,13,12,0,7,3,0,81,14,19,16,13,12,0,7,3,0,81,1069,678,741,769,768,570,264,128,31,5021
SAL80022,134,161,507,277,251,218,210,75,12,1849,0,0,0,0,0,0,0,0,0,3,6,8,24,22,23,16,5,0,0,108,0,0,7,0,14,3,0,0,0,34,0,6,7,4,7,0,6,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,9,7,4,5,0,0,65,0,0,0,0,0,0,0,0,0,0,11,33,66,41,50,25,13,0,0,240,11,33,66,41,50,27,11,0,0,240,143,191,571,317,309,249,225,75,16,2088
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,722,1516,3126,1176,572,388,298,261,181,8240,0,0,0,0,0,0,0,0,0,8,4,24,30,22,20,18,17,0,0,128,0,5,9,0,3,8,0,0,0,26,0,5,4,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,31,40,23,17,5,13,3,0,136,0,0,0,0,0,0,0,0,0,0,12,68,86,58,43,31,25,3,0,334,12,68,83,59,45,31,30,3,0,340,735,1580,3214,1237,619,422,329,260,181,8583
SAL80025,2108,862,1119,1578,873,329,204,87,7,7176,0,0,0,0,0,0,0,0,0,7,0,9,8,0,0,4,12,0,0,31,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,9,11,3,5,4,0,0,63,0,0,0,0,0,0,0,0,0,0,8,23,29,10,8,8,14,0,0,111,8,23,29,10,8,8,16,0,0,112,2120,888,1147,1590,883,340,224,89,7,7290
SAL80026,707,468,500,523,527,468,319,150,43,3700,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,6,3,3,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,4,9,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,12,14,9,16,5,7,5,0,74,4,12,14,9,16,5,7,5,0,74,710,478,517,536,536,476,334,157,43,3774
SAL80027,330,1106,2470,985,443,373,243,121,38,6109,0,0,4,0,0,0,4,0,0,12,3,33,37,29,31,34,23,3,0,197,0,7,12,6,8,7,0,0,0,45,0,4,14,14,13,11,7,0,0,67,0,0,0,0,3,4,0,0,0,7,0,0,0,8,0,0,0,0,0,12,0,0,4,3,4,0,0,0,0,10,0,0,5,0,0,0,0,0,0,5,11,54,49,24,13,13,5,3,0,171,0,0,0,0,0,0,0,0,0,0,17,99,119,84,74,72,34,9,0,512,17,102,125,84,74,74,38,9,0,518,345,1207,2592,1067,522,442,278,127,42,6629
SAL80028,768,1782,1892,953,556,451,411,257,137,7204,0,11,4,0,0,0,0,0,0,18,0,119,15,17,13,12,8,4,8,204,0,7,4,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,49,62,27,25,32,39,43,23,315,0,0,0,0,0,0,0,0,0,0,17,189,88,47,35,52,48,49,33,555,17,199,92,47,36,52,48,49,30,575,779,1978,1979,1000,590,506,463,306,171,7779
SAL80029,1106,684,783,718,746,805,440,194,91,5566,0,0,0,0,0,0,0,0,0,3,3,5,3,4,4,3,4,0,3,36,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,6,5,4,4,8,4,58,0,0,0,0,0,0,0,0,0,0,12,22,19,16,15,8,10,6,7,111,12,22,19,16,15,10,10,7,7,115,1116,710,799,732,755,816,443,204,103,5685
SAL80030,685,2080,1001,634,640,555,376,214,115,6296,0,4,3,0,0,0,0,0,0,5,0,23,10,4,11,5,9,5,0,66,3,8,8,4,0,3,0,0,0,28,0,18,12,5,7,0,4,0,0,52,0,3,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,7,0,0,3,0,3,0,4,0,0,5,0,0,5,0,6,0,0,0,0,10,13,20,19,33,20,12,9,4,0,121,0,0,0,0,0,0,0,0,0,0,16,74,66,53,41,23,15,5,0,293,16,78,65,53,44,23,15,5,0,304,703,2159,1069,681,683,576,391,216,115,6600
