SAL_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,0,0,97,3,16,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,16,0,21,0,0,0,0,0,0,0,100,17,0,0,19,0,117,53,0,0,0,0,0,53,0,7,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,9,0,0,0,0,0,0,0,57,7,0,0,12,0,65,21,0,0,0,0,0,21,0,5,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,6,0,0,0,0,0,0,0,15,5,0,0,4,0,24,749,23,0,0,23,0,772,38,77,3,0,81,0,126,0,6,5,0,7,0,7,0,0,0,0,0,0,0,38,80,13,0,87,0,128,0,0,0,0,0,0,0,791,100,13,0,112,0,904
SAL80019,4,0,181,9,45,3,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,3,0,48,0,56,0,0,0,0,0,0,0,180,53,3,0,55,0,241,62,4,0,0,4,0,68,6,30,0,0,30,0,29,0,0,0,0,5,0,5,0,0,0,0,0,0,0,6,30,0,0,31,0,34,0,0,0,0,0,0,0,64,33,0,0,36,0,98,26,0,0,0,0,0,26,4,17,0,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,14,0,15,0,0,0,0,0,0,0,32,14,0,0,14,0,49,1058,48,0,0,48,0,1105,59,354,3,0,357,0,411,0,34,7,0,44,0,42,0,0,0,0,0,0,0,57,383,13,0,396,0,456,0,0,0,0,0,0,0,1111,428,13,0,447,0,1556
SAL80020,0,0,73,5,9,0,0,9,0,13,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,8,0,0,8,0,14,0,0,0,0,0,0,0,75,8,0,0,8,0,85,17,3,0,0,3,0,20,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,17,3,0,0,3,0,19,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,13,5,0,0,5,0,19,447,12,0,0,12,0,462,9,81,0,0,81,0,91,3,3,0,0,3,0,6,0,0,0,0,0,0,0,16,82,0,0,82,0,97,0,0,0,0,0,0,0,464,97,0,0,97,0,555
SAL80021,0,0,115,0,27,0,0,28,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,28,0,31,0,0,0,0,0,0,0,113,32,0,0,34,0,144,31,0,0,0,0,0,31,0,10,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,14,0,0,0,0,0,0,0,32,12,0,0,12,0,41,16,0,0,0,0,0,16,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,16,0,0,0,4,0,19,796,18,5,0,21,0,816,34,178,5,0,185,0,223,0,3,0,0,5,0,5,0,0,0,0,0,0,0,34,187,6,0,193,0,223,0,0,0,0,0,0,0,830,204,9,0,210,0,1047
SAL80022,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,9,0,0,0,0,0,9,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,3,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,59,12,0,0,12,0,67,23,35,0,0,35,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,0,0,36,0,57,0,0,0,0,0,0,0,75,46,0,0,46,0,124
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,0,0,10,0,12,0,0,13,0,13,0,3,0,0,10,0,10,0,0,0,0,0,0,0,0,19,5,0,24,0,24,0,0,0,0,0,0,0,10,19,5,0,24,0,29,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,8,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,137,14,0,0,14,0,150,29,325,16,0,342,0,370,0,38,9,0,46,0,46,0,0,0,0,0,0,0,29,361,25,0,386,0,418,0,0,0,0,0,0,0,165,376,25,0,403,0,564
SAL80025,5,0,97,9,78,3,0,82,0,91,0,5,3,0,12,0,12,0,0,0,0,0,0,0,9,84,11,0,94,0,104,0,0,0,0,0,0,0,99,87,11,0,99,0,200,26,6,0,0,6,0,29,3,51,6,0,51,0,57,0,0,3,0,5,0,5,0,0,0,0,0,0,0,3,49,3,0,56,0,62,0,0,0,0,0,0,0,27,52,3,0,58,0,88,13,3,0,0,3,0,11,0,29,0,0,31,0,32,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,29,3,0,32,0,38,0,0,0,0,0,0,0,12,30,3,0,40,0,47,829,51,0,0,51,0,880,93,965,21,11,999,0,1094,0,57,30,4,98,0,98,0,0,0,0,0,0,0,93,1026,54,9,1093,0,1186,7,5,0,0,5,0,10,933,1079,54,9,1151,0,2083
SAL80026,3,0,65,0,19,3,0,22,0,24,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,19,5,0,27,0,25,0,0,0,0,0,0,0,64,23,5,0,27,0,89,24,0,0,0,0,0,24,3,19,0,0,22,0,21,0,5,0,0,4,0,4,0,0,0,0,0,0,0,3,21,0,0,23,0,26,0,0,0,0,0,0,0,19,21,0,0,23,0,45,13,0,0,0,0,0,13,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,8,3,0,0,3,0,20,434,22,0,0,22,8,458,32,189,3,5,196,0,229,0,9,7,0,10,0,13,0,0,0,0,0,0,0,33,193,10,5,206,0,244,0,0,0,0,0,0,0,461,213,10,5,227,8,700
SAL80027,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,13,15,0,0,0,0,0,15,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,15,5,0,0,5,0,13,3,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,4,162,8,0,0,8,0,176,16,96,4,0,99,0,118,0,3,5,0,6,0,6,0,0,0,0,0,0,0,16,99,3,0,109,0,128,0,0,0,0,0,0,0,183,110,3,0,120,0,298
SAL80028,0,0,40,6,26,0,0,22,0,34,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,20,0,0,26,0,32,0,0,0,0,0,0,0,46,23,0,0,26,0,74,20,0,0,0,0,0,22,5,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,20,0,0,0,0,0,0,0,30,11,0,0,10,0,37,10,0,0,0,0,0,10,0,6,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,9,0,0,0,0,0,0,0,7,6,0,0,12,0,19,382,15,0,0,15,3,408,46,276,7,0,282,0,328,0,6,0,0,6,0,11,0,0,4,0,4,0,4,44,286,9,0,295,0,337,0,0,0,0,0,3,3,429,300,15,0,315,5,748
SAL80029,4,0,113,3,17,0,0,13,0,19,0,4,0,0,4,0,3,0,0,0,0,0,0,0,5,18,0,0,17,0,26,0,0,0,0,0,0,0,119,17,0,0,21,0,134,40,0,0,0,0,0,37,0,7,0,0,7,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,11,0,0,11,0,13,0,0,0,0,0,0,0,38,12,0,0,12,0,50,20,0,0,0,0,0,20,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,30,858,28,0,0,28,5,887,40,160,5,0,162,0,204,8,10,0,0,10,0,21,0,0,0,0,0,0,0,44,169,5,0,180,0,222,3,0,0,0,0,0,3,904,197,5,0,205,5,1117
SAL80030,3,0,104,3,13,3,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,15,0,19,0,0,0,0,0,0,0,102,17,3,0,19,0,121,37,0,0,0,0,0,39,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,40,6,0,0,6,0,40,15,0,0,0,0,0,15,0,9,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,7,0,0,0,0,0,0,0,18,9,0,0,9,0,24,604,22,0,0,22,0,629,54,99,8,0,102,0,154,0,3,0,0,3,0,4,0,0,0,0,0,0,0,55,100,8,0,105,0,162,0,0,0,0,0,0,0,655,122,8,0,129,0,785
SAL80031,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,9,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,6,0,0,0,0,0,0,0,18,9,0,0,9,0,18
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,4,0,80,4,52,0,0,52,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,0,0,51,0,56,0,0,0,0,0,0,0,82,56,0,0,59,0,135,31,0,0,0,0,0,34,0,18,6,0,22,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,22,0,19,0,0,0,0,0,0,0,32,19,6,0,25,0,54,10,0,0,0,0,0,10,0,17,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,22,0,22,0,0,0,0,0,0,0,10,17,0,0,22,0,26,838,50,0,0,50,0,886,75,614,10,0,623,0,704,5,17,11,0,28,0,35,0,0,0,0,0,0,0,83,633,26,0,655,0,735,0,0,0,0,0,0,0,916,677,26,0,700,0,1618
SAL80034,3,0,95,0,8,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,6,0,0,0,0,0,0,0,90,10,0,0,10,0,104,30,0,0,0,0,0,31,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,30,3,0,0,3,0,39,19,0,0,0,0,0,20,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,25,6,0,0,6,0,27,515,12,0,0,12,0,526,17,56,0,0,56,0,78,0,3,0,0,3,0,3,0,0,0,0,0,0,0,17,62,0,0,62,0,85,0,0,0,0,0,5,5,535,72,0,0,72,3,614
SAL80035,0,0,31,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,8,0,0,0,0,0,0,0,33,7,0,0,9,0,39,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,8,0,0,0,4,0,10,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,7,365,16,0,0,16,0,381,16,78,0,0,86,0,99,0,13,6,0,19,0,25,0,0,0,0,0,0,0,17,93,8,0,101,0,123,0,0,0,0,0,0,0,381,110,8,0,117,0,503
SAL80036,5,0,42,0,7,0,0,7,0,7,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,12,0,0,9,0,14,0,0,0,0,0,0,0,48,11,0,0,16,0,59,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,16,7,0,0,0,0,0,7,3,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,4,0,0,0,0,0,0,0,8,6,0,0,6,0,16,280,17,0,0,17,0,300,30,103,0,0,99,0,130,0,6,0,0,5,0,5,0,0,0,0,0,0,0,30,107,5,0,110,0,140,0,0,0,0,0,0,0,314,127,5,0,126,0,439
