SAL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,6,0,11,6,0,4,0,0,0,23,3,28
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,12,4,15
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,16
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,3,9,16,3,11,8,5,21,22,3,52,57,11,102,114,16,53,66,32,37,69,26,46,71,45,46,95,41,40,80,47,55,98,51,44,93,102,76,177,90,9,97,82,30,115,82,9,93,562,63,624,82,19,100,3,25,26,1277,737,2018
SAL80019,6,4,7,3,0,7,3,15,20,0,13,21,10,44,55,11,22,31,44,17,61,42,24,70,51,31,83,57,31,92,70,35,103,73,31,106,166,70,237,165,11,177,202,12,220,177,0,177,482,13,499,71,4,78,8,9,14,1651,388,2039
SAL80020,0,6,3,0,0,3,0,3,3,4,4,0,3,12,16,3,21,20,5,6,11,12,19,30,16,16,29,31,17,55,21,16,36,29,13,42,64,26,88,58,9,63,67,6,65,65,4,65,291,20,312,41,8,45,4,4,9,706,190,897
SAL80021,0,8,10,0,5,10,6,8,5,3,13,19,14,45,53,9,18,32,23,24,51,27,26,49,57,45,96,75,38,110,76,40,120,76,29,100,166,53,214,181,4,184,173,8,181,120,6,120,304,17,317,77,0,81,8,4,13,1396,377,1772
SAL80022,0,3,0,0,0,0,0,0,3,0,4,4,0,6,8,0,4,7,4,5,6,0,10,10,10,32,41,12,50,60,15,41,54,24,36,56,48,157,207,44,11,54,50,33,85,42,3,51,179,72,249,26,9,34,0,5,0,452,486,943
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,20,61,79,9,8,19,7,32,40,20,62,84,29,106,137,36,90,124,59,105,168,85,113,193,119,179,300,175,209,376,151,234,382,160,192,359,335,304,641,260,44,307,168,69,235,122,19,142,221,74,296,81,52,135,12,23,34,2063,1985,4042
SAL80025,5,9,17,0,0,3,3,0,5,0,7,9,3,18,24,13,10,25,28,4,34,48,11,58,51,16,68,75,22,100,74,29,105,81,37,120,248,65,311,201,5,208,217,11,231,186,3,189,477,23,498,101,8,113,9,5,18,1830,285,2116
SAL80026,0,7,11,5,3,3,0,9,6,0,13,16,16,45,58,13,22,40,21,29,51,19,33,50,50,29,82,52,33,88,63,42,103,44,27,71,134,64,198,112,0,118,95,16,111,103,3,105,218,12,232,77,6,81,5,5,4,1035,408,1443
SAL80027,14,46,65,3,8,11,5,29,36,0,45,45,17,60,77,5,58,70,19,48,68,25,63,85,41,114,153,61,165,227,41,170,211,57,184,243,166,457,628,163,79,241,153,135,291,122,48,163,417,191,615,75,63,135,8,16,25,1393,1988,3380
SAL80028,6,22,30,0,11,11,3,14,17,6,19,22,7,29,37,12,29,41,23,45,69,34,52,84,66,105,168,86,120,199,72,123,198,82,94,185,206,197,403,165,33,197,180,59,240,140,26,166,421,54,473,80,40,122,0,8,14,1592,1086,2679
SAL80029,3,6,8,3,3,3,0,3,3,3,18,23,9,44,50,15,24,39,29,18,46,35,28,61,60,34,96,80,37,116,79,56,132,66,40,114,209,70,281,176,7,178,182,11,189,137,0,139,402,21,425,84,3,88,4,9,12,1577,441,2018
SAL80030,0,4,10,0,0,5,4,6,9,0,12,13,3,28,27,11,27,39,10,29,44,12,24,33,26,38,65,36,72,103,30,76,104,46,58,100,121,144,267,82,21,109,113,47,164,106,13,115,592,89,676,71,28,100,3,5,7,1263,721,1981
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,3,0,3,3,0,3,3,0,0,0,3,0,9,4,0,4,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,23,14,44
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,7,13,19,0,3,4,0,14,14,0,12,14,9,24,32,12,12,20,26,4,36,32,26,50,49,35,81,67,46,114,78,58,136,76,49,119,221,100,316,214,6,222,216,25,243,166,0,170,465,20,492,103,6,104,4,6,15,1746,455,2202
SAL80034,0,3,3,0,0,0,0,4,4,0,9,9,7,23,29,3,17,19,10,27,36,21,12,36,24,19,43,31,19,55,25,12,35,32,5,38,84,23,112,54,0,54,72,8,78,56,0,58,359,8,369,49,0,52,4,0,4,836,191,1023
SAL80035,7,6,15,0,4,8,5,18,19,5,20,25,10,41,56,16,32,45,32,25,62,34,27,62,42,37,75,53,24,84,48,24,78,48,22,73,114,47,162,105,4,112,80,0,81,57,0,57,84,6,84,54,5,59,3,8,9,809,355,1167
SAL80036,0,5,8,0,0,0,0,3,3,0,17,21,9,38,44,5,25,30,16,25,35,13,33,48,25,38,66,33,27,57,19,32,52,28,27,52,65,51,119,72,12,86,62,13,74,53,4,63,224,23,246,43,7,45,4,3,11,680,375,1059
SAL80037,8,11,10,0,6,7,3,13,15,6,28,28,15,65,74,19,22,37,43,24,67,30,30,62,53,31,88,72,37,104,72,32,108,79,36,116,211,56,269,173,8,177,164,6,172,127,3,130,274,20,294,77,9,79,6,6,18,1427,432,1862
SAL80038,14,46,58,9,9,14,4,11,19,3,21,22,0,25,21,9,19,26,11,19,29,12,42,50,29,56,90,30,86,115,32,102,131,34,90,128,111,215,320,90,16,101,86,68,151,68,18,85,229,117,350,36,20,59,4,7,10,809,984,1796
SAL80039,6,7,15,3,0,5,0,5,7,0,17,22,9,44,47,13,19,36,41,22,61,36,27,65,44,23,70,55,24,77,66,26,95,61,27,92,159,57,213,148,0,153,160,7,167,139,0,141,380,13,389,72,0,79,9,12,20,1411,339,1753
SAL80040,0,0,5,0,3,0,0,9,10,3,11,15,11,36,42,7,22,30,20,27,50,13,44,55,34,52,84,39,32,75,33,30,63,34,31,66,92,73,166,79,0,77,86,17,104,63,0,64,256,14,267,39,6,42,3,4,3,806,428,1237
SAL80041,4,0,9,5,0,5,0,8,7,10,6,19,8,14,20,11,8,17,12,19,30,26,19,50,25,34,57,57,41,101,50,50,98,65,44,109,142,104,248,163,19,178,158,21,178,125,3,128,352,33,384,48,13,64,5,8,11,1276,449,1725
SAL80042,5,3,15,3,6,3,0,5,3,0,6,15,3,18,23,6,24,31,10,15,28,20,31,53,41,42,82,44,43,86,56,23,81,63,37,99,144,62,208,117,6,122,137,11,143,122,3,121,453,28,481,66,8,76,7,7,11,1303,376,1686
SAL80043,8,9,17,0,8,12,0,9,11,3,26,27,9,50,62,16,44,63,22,36,58,29,47,79,40,52,93,58,39,102,48,43,90,51,32,79,132,53,186,111,6,115,118,26,138,114,4,119,651,24,675,88,3,95,6,3,10,1504,522,2023
SAL80044,4,3,9,0,0,0,0,10,10,0,16,15,0,23,24,3,20,28,13,24,36,8,28,35,15,23,34,25,23,46,29,30,60,22,31,55,67,51,117,64,9,74,64,21,85,43,0,43,411,50,461,54,11,59,5,8,13,826,384,1209
SAL80045,0,3,6,3,0,3,0,3,3,3,6,7,5,5,9,5,0,5,11,0,14,6,3,8,14,17,26,19,21,45,19,29,50,18,32,51,67,48,118,62,4,67,90,16,105,70,3,68,323,16,337,29,4,34,6,0,6,763,216,975
SAL80046,7,8,15,3,0,8,5,14,18,5,16,20,13,28,42,3,35,38,16,19,34,24,29,54,20,41,66,38,64,99,25,68,89,37,49,83,87,128,217,86,31,114,76,27,104,71,17,89,216,56,275,38,33,67,0,6,12,763,672,1431
SAL80047,3,12,13,0,4,14,0,13,13,0,23,24,8,66,75,17,37,48,28,30,58,30,32,67,35,51,85,42,49,92,46,46,93,46,45,90,110,75,182,98,15,116,92,18,116,99,6,106,312,39,354,44,18,67,4,9,15,1034,595,1626
SAL80048,6,11,17,4,4,5,0,5,9,3,12,14,3,21,20,11,19,29,11,17,27,26,30,54,31,27,58,42,17,60,44,21,67,62,21,79,97,32,131,87,3,93,81,3,82,76,0,76,326,22,349,51,5,50,5,12,16,951,284,1231
SAL80049,12,8,17,6,0,8,0,7,9,0,10,16,8,34,45,21,25,49,23,22,48,46,47,91,67,52,118,94,40,142,83,51,136,103,34,133,271,70,344,254,5,261,214,11,223,190,3,203,451,15,462,105,4,109,11,6,20,1966,461,2424
SAL80050,3,4,10,9,3,8,4,12,16,4,19,14,5,38,38,22,25,40,55,26,75,42,29,77,59,40,101,88,34,125,78,37,119,80,31,108,187,53,236,185,6,184,172,15,181,138,0,141,371,18,384,81,10,94,0,5,10,1558,406,1964
SAL80051,0,0,3,3,3,3,0,5,5,4,0,4,3,9,16,3,3,13,4,0,4,22,18,34,17,18,33,30,15,45,24,15,38,44,12,52,79,22,98,79,5,80,90,7,93,78,0,78,361,5,368,57,4,59,3,5,4,894,145,1039
SAL80052,5,11,11,4,3,3,0,7,7,0,11,12,5,28,39,7,30,33,14,26,43,19,35,57,24,51,73,64,24,88,39,25,63,45,29,69,97,49,144,97,0,100,86,3,89,59,3,65,381,21,407,50,5,51,3,9,15,1002,364,1368
SAL80053,0,5,10,0,7,10,0,9,9,0,15,19,4,50,51,6,32,41,21,26,49,25,37,56,37,32,69,57,29,85,23,21,48,45,17,61,88,36,124,61,4,63,89,6,97,65,5,67,271,18,282,53,5,57,4,11,13,855,360,1213
SAL80054,3,14,18,7,4,8,9,12,21,5,38,39,20,69,92,25,38,60,38,34,78,55,36,94,63,38,99,69,36,108,66,39,99,68,36,107,170,57,221,139,3,143,111,13,125,95,3,104,291,18,303,58,10,71,10,15,25,1310,523,1835
SAL80055,4,6,8,0,0,0,5,8,9,0,7,9,7,24,36,11,11,23,22,18,40,20,12,35,37,22,55,45,14,55,45,22,65,51,26,73,93,29,119,102,4,105,116,10,125,97,0,96,290,9,300,37,4,42,6,7,13,984,229,1214
SAL80056,3,0,10,3,0,3,0,0,0,0,4,4,3,13,17,9,5,18,14,0,24,10,10,19,25,12,38,29,15,43,35,12,49,37,17,53,96,43,142,83,4,85,138,12,146,112,4,115,532,18,548,45,5,54,8,0,14,1195,177,1373
SAL80057,5,6,9,0,0,4,0,4,4,0,8,8,0,8,8,3,3,13,0,7,11,0,7,11,8,10,18,18,24,44,11,28,38,11,25,36,35,59,98,42,3,46,40,15,55,30,10,38,278,46,320,36,0,39,0,0,0,528,258,786
SAL80058,9,14,30,4,0,4,9,3,14,0,13,13,13,24,46,12,17,27,27,21,50,41,41,86,58,47,113,90,79,163,95,101,196,95,74,170,277,146,420,220,33,258,185,26,215,156,5,163,466,34,496,93,22,123,7,11,19,1887,724,2609
SAL80059,4,0,8,0,0,0,0,5,5,0,10,7,0,11,12,10,7,14,19,19,37,18,11,27,17,3,30,39,5,41,29,9,36,29,3,35,67,15,84,56,0,54,56,3,59,60,4,61,170,16,181,38,0,37,0,0,5,608,126,730
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
SAL80061,3,4,14,0,0,6,0,9,6,4,12,12,8,26,38,5,23,33,8,10,19,16,19,31,18,30,50,45,22,62,30,22,56,30,15,49,100,58,158,69,0,72,80,17,98,58,0,56,411,28,439,47,8,50,0,8,9,932,324,1257
SAL80062,3,3,6,0,3,3,4,3,8,0,9,8,10,19,30,18,12,30,14,12,25,17,12,26,27,19,40,36,18,54,40,17,56,44,14,58,105,28,132,84,3,84,87,9,94,63,0,65,181,7,183,34,0,37,3,5,7,765,191,948
SAL80063,3,8,8,3,0,4,3,6,9,0,9,11,0,25,29,6,18,17,32,22,55,26,20,42,39,26,71,43,23,66,39,24,68,53,19,75,104,28,135,106,3,112,100,0,98,76,0,79,256,12,270,33,14,53,3,4,6,932,262,1196
SAL80064,15,17,30,0,8,4,4,15,19,0,29,31,14,88,103,21,47,68,68,44,115,52,47,100,80,62,151,116,58,174,108,68,174,103,55,163,279,86,364,240,4,241,272,7,285,179,3,175,516,15,531,106,9,116,10,15,28,2191,682,2874
SAL80065,7,3,13,4,0,7,4,8,8,5,12,14,6,20,26,3,17,16,19,14,37,21,17,38,39,24,62,37,17,57,31,14,44,43,13,59,93,18,113,108,0,108,105,7,117,76,0,76,250,12,264,44,4,54,3,0,3,911,191,1106
SAL80066,4,9,14,0,7,3,0,7,7,3,25,29,8,72,80,11,55,67,34,41,72,32,76,107,42,121,162,79,122,193,72,112,190,79,89,165,186,152,344,139,11,152,105,25,137,64,10,73,176,32,206,52,14,67,0,12,18,1102,991,2088
SAL80067,4,14,18,0,0,3,0,11,11,0,26,31,3,60,61,0,28,27,10,32,43,17,28,42,18,43,61,38,93,129,46,110,151,49,98,149,138,212,358,128,28,155,125,43,167,97,9,111,590,101,691,77,13,95,3,6,12,1359,961,2319
SAL80068,15,26,40,7,11,19,5,18,25,5,27,36,15,44,65,35,36,71,48,47,98,65,81,143,82,106,184,123,109,235,111,113,222,121,77,199,326,158,480,243,41,283,217,35,249,149,7,159,489,61,552,128,16,143,7,10,17,2188,1030,3219
SAL80069,4,4,6,0,0,3,3,10,9,4,14,17,8,38,50,0,16,17,16,26,39,17,17,33,18,42,56,32,34,63,39,29,67,41,23,57,77,44,118,58,3,62,72,20,89,74,0,78,340,16,358,43,6,53,5,8,14,833,349,1181
SAL80070,0,0,0,0,0,0,0,0,3,0,4,4,0,4,9,0,0,0,0,3,5,5,0,4,3,3,8,4,3,5,0,0,0,4,0,4,8,4,6,13,0,13,3,0,6,11,0,11,27,0,28,6,0,6,3,0,3,86,25,105
SAL80071,6,13,25,7,0,8,0,4,8,0,10,12,6,25,33,17,36,52,28,28,58,33,39,75,64,63,131,81,71,151,89,72,154,81,63,146,266,126,389,225,17,242,225,29,248,190,11,201,611,61,665,129,29,154,5,15,20,2068,693,2768
SAL80072,0,4,7,3,7,7,0,7,12,0,17,13,5,31,39,6,36,42,22,24,48,25,30,61,36,33,69,44,24,72,35,30,61,47,22,77,104,46,151,75,4,88,68,7,73,53,0,55,264,20,281,26,8,35,0,6,0,829,347,1181
SAL80073,3,6,10,0,5,3,3,4,12,3,14,21,6,39,46,16,19,34,40,16,61,37,31,70,37,26,69,55,27,81,31,23,54,42,19,61,123,35,156,120,5,122,107,7,114,92,0,90,174,11,188,41,7,49,4,11,18,927,305,1236
SAL80074,3,6,9,0,0,0,0,7,7,0,14,14,6,30,42,4,14,22,20,16,43,18,21,36,33,29,66,36,22,64,40,30,66,37,18,65,89,54,141,73,3,75,55,11,66,79,0,79,242,8,253,35,3,41,5,6,4,789,297,1092
SAL80075,9,15,24,3,6,15,6,17,25,9,39,45,20,113,130,30,62,87,54,69,121,46,60,107,70,69,143,97,67,162,76,66,144,62,50,112,218,107,318,186,4,190,166,12,180,135,3,133,245,21,264,69,6,78,5,15,16,1493,796,2289
SAL80076,4,0,8,0,6,5,0,9,9,6,19,20,6,36,44,10,19,25,8,24,31,15,35,45,18,34,49,31,21,55,26,19,50,25,20,45,78,36,111,57,7,56,73,9,79,58,0,57,362,22,379,37,5,47,6,0,3,815,317,1131
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
SAL80078,0,5,11,4,0,9,0,9,8,3,10,10,9,13,19,5,11,16,17,14,31,21,18,35,21,19,41,29,15,46,33,13,45,38,18,56,65,21,86,57,0,57,54,5,59,54,0,58,249,20,272,43,3,42,3,3,10,699,209,915
SAL80079,4,12,16,4,3,3,4,9,11,4,14,20,13,60,68,14,29,44,46,21,69,31,42,70,49,37,85,59,45,101,71,38,109,63,32,94,162,33,190,141,3,144,147,9,159,91,0,96,205,10,214,66,6,69,12,10,20,1198,416,1613
SAL80080,0,0,0,0,0,0,3,4,0,0,0,3,0,3,5,5,0,5,9,0,3,5,0,5,3,9,9,9,13,21,12,8,17,13,5,17,33,7,39,23,3,27,24,0,24,8,0,8,27,0,24,7,4,7,0,0,0,178,56,237
SAL80081,8,18,29,5,7,14,0,16,20,4,43,48,10,83,87,25,48,66,55,38,93,54,46,100,80,45,124,121,53,171,121,47,169,106,39,145,224,61,288,204,11,216,180,20,196,188,7,193,541,29,566,101,20,124,10,7,21,2035,647,2677
SAL80082,14,36,50,5,17,30,10,37,42,13,80,93,46,193,234,54,119,167,124,120,243,126,147,269,207,137,349,281,102,385,212,110,323,210,96,305,542,180,718,431,19,447,446,37,489,352,12,367,1013,47,1060,216,13,225,15,42,55,4321,1534,5852
SAL80083,5,16,27,0,6,3,5,8,10,5,17,21,9,34,38,7,36,37,17,21,41,13,52,64,28,70,98,39,129,168,48,175,223,62,181,240,175,473,642,147,36,186,170,137,306,147,31,182,641,234,876,65,38,110,8,19,20,1591,1701,3293
SAL80084,0,13,7,0,5,8,4,11,14,4,20,24,16,42,59,13,29,36,27,29,59,31,38,70,37,28,68,63,43,106,52,18,75,62,24,92,134,49,188,105,7,108,106,9,116,76,7,84,207,11,212,53,5,59,3,9,14,1016,387,1401
SAL80085,5,4,11,7,0,5,0,0,0,0,4,4,6,3,10,9,4,9,9,8,14,5,12,18,19,25,46,27,29,55,17,47,58,24,33,57,81,89,168,64,17,85,68,20,84,80,12,91,164,28,190,42,31,69,3,0,6,618,374,990
SAL80086,4,24,27,6,10,18,3,31,36,8,49,54,12,94,100,3,57,67,32,49,75,32,77,108,55,76,129,67,90,159,56,126,184,81,93,177,160,199,358,148,23,170,119,42,158,121,21,136,353,83,430,64,30,94,6,11,18,1321,1189,2514
SAL80087,3,13,14,9,3,10,0,8,5,5,26,27,16,42,56,6,35,47,21,42,60,18,42,62,28,54,81,51,53,104,32,35,74,34,41,75,105,72,174,62,7,73,73,15,94,56,9,67,236,14,257,44,6,52,8,9,15,821,524,1342
SAL80088,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,5,4,9,5,0,5,4,8,8,13,9,18,29,3,32,12,9,24,20,3,18,37,14,51,35,0,35,55,6,61,32,0,32,140,0,140,16,0,18,3,0,5,417,71,488
SAL80089,3,16,19,3,0,3,4,8,9,6,17,26,19,45,61,17,29,40,47,32,73,46,46,90,64,63,124,101,47,150,111,58,168,116,53,170,273,101,374,282,4,290,224,22,243,178,0,185,352,14,367,79,8,84,3,5,10,1926,568,2502
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,5,10,19,0,4,4,0,13,11,0,18,24,12,57,72,9,35,43,17,34,50,34,35,59,34,41,75,62,40,101,45,39,85,32,42,72,87,51,143,85,11,100,79,10,89,47,0,53,194,20,210,31,14,42,11,12,18,773,488,1260
SAL80092,6,8,16,0,0,0,4,5,11,0,22,22,0,55,59,17,25,43,17,29,48,20,31,51,37,55,90,44,36,83,50,36,91,53,26,77,116,63,179,83,4,88,79,16,98,73,0,74,267,24,289,43,4,45,3,6,9,920,452,1375
SAL80093,10,4,10,0,5,3,0,5,9,0,14,14,10,26,37,11,11,22,25,14,38,12,19,31,18,17,37,38,10,49,23,20,38,36,15,49,80,12,95,65,0,67,74,14,88,78,0,80,235,7,246,35,4,39,8,4,10,765,201,963
SAL80094,0,6,12,4,3,4,4,0,0,0,19,17,9,27,38,12,28,37,27,26,51,30,28,59,33,18,46,60,22,84,44,25,68,49,15,64,103,35,135,77,4,83,106,5,111,65,3,63,247,7,256,50,0,51,4,7,8,916,281,1198
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
